(11300+7.105427357601002e-15j),(18478-1.2079226507921703e-13j),(56216+7.958078640513122e-13j),(59634+1.9895196601282805e-13j)
(-20.8390231016717-16.63605390558336j),(83.94833789873003-5.9951166389270885j),(-307.96499371603414+188.88029494270035j),(1402.1144071389194-1556.0711618431628j)
(-9.57023929406237-27.659672937047382j),(-49.0351902501131-36.6254227010986j),(-282.08678833670467-47.86117452724139j),(1002.4916583851324-507.0100262879476j)
(39.163381993151-42.83646770174957j),(-48.18116028200427-53.79157724240447j),(-80.64078089628377+83.7257976480972j),(426.6501513765321-712.6383584532546j)
(88.4353987277946-20.58698376472441j),(-4.5170563414555005-23.542998125800555j),(-391.13532340942845+415.0749069936705j),(1545.2512407247295-1111.0176155829677j)
(60.26995560009181-35.48722360929389j),(-15.731894018942752-56.77598672041768j),(-46.76387040254951+78.37720674238145j),(41.874114139018275-254.75226676745945j)
(15.51610872661445-22.918786743797497j),(13.992305806046682-57.1596075339825j),(-182.9596904079168-155.25298102947517j),(626.0321130969279+291.64531094801396j)
(-16.69081931639331-28.541424611881336j),(25.839737918843994-37.52429075711356j),(5.272636677969606+32.0523041504775j),(178.19322676503933-45.56968779177002j)
(46.81521394663547-11.650208018416603j),(-34.32475859068242-7.516014349040276j),(-240.8462050590383+73.55255743252852j),(526.98466588733-501.1401528968454j)
(35.7786247292327-20.56685607683393j),(-1.1787825559670937-44.812772172524596j),(5.615059981271736+7.614358983796638j),(-78.77703409708872-373.9098792923064j)
(-56.79852522427842+38.99972164663118j),(72.54708832263616-23.048815140576146j),(-45.22251072121438-488.038623438939j),(1443.5080672040588+1386.059329920204j)
(-4.326999537838135+21.04396008422518j),(64.43547312414115+21.833313560654044j),(-22.94906518683431-168.53975561519232j),(336.0217483855592+652.0934766172263j)
(26.558113544811214-1.2618338471588926j),(-8.592981613475294-5.0864344176786895j),(-249.94894077578635-112.07641258646112j),(724.5918932993374+385.7877305205032j)
(50.87901115025413+13.460719847891166j),(21.32469995939698-6.473582565022259j),(-310.07747150349775-320.15559493875946j),(821.7269825387627+1418.6731951044803j)
(2.7925250194323548-20.81366306570743j),(1.9308264597451092-24.64548685164644j),(358.8590882303612+425.92767669679654j),(-865.5979405386539-2220.728849123794j)
(-30.592578956557837-13.133032222520297j),(-31.83910969693033+19.36323466913226j),(231.86064754548755+84.57868437155322j),(-361.5525819039551-300.88043000275684j)
(-30.427627303654717-24.589219245705095j),(-24.65115677292452+19.551672551719975j),(-15.492857943804625+94.30625167920398j),(183.17595687445382-394.38953493314864j)
(-3.8484221607475875+10.361612635695284j),(-17.72436644242737+43.20825027224211j),(29.476600110088093-146.4651746364883j),(246.5845548941436+7.21784159382905j)
(15.34865830369882-16.05416173073601j),(5.348822581605166-45.439865018363065j),(131.74560106800976+160.9764452214464j),(-236.58980738739047-439.6383794282434j)
(-28.6491466422351-70.43218451263621j),(-16.438013130077447-71.55407542514021j),(223.81097019915347+89.96846221674627j),(-745.3820876987321+288.54163944120376j)
(43.62952826847245+3.470004104531469j),(21.29706122688183-27.58628078184123j),(-96.9283052443862-8.53468804890236j),(96.18656192831892-373.1566361719159j)
(16.14531955383964+3.2381388322308995j),(46.03386796754127+10.095874639601096j),(-21.428536990683703-49.95566797302762j),(135.04312689772297+2.3295496122190755j)
(-20.441240077880117-14.063088835354218j),(24.785710462931352+43.941943984505734j),(64.1332914224698+93.69632696477288j),(-613.0675703818048-46.47298982649073j)
(53.08764334278915-107.69754430776915j),(29.25410243901573-44.71153746714809j),(1169.7625312086209-194.5757601848374j),(-7275.010612627202+2802.3259637677575j)
(37.46627046325008-32.04767880334616j),(-13.93221573014133-63.429522249206556j),(-213.30163039894722+127.15044622439218j),(1335.6596753549316-764.6192726465681j)
(-3.740800789534525+38.058387722154826j),(28.50015744788814-19.649871412872415j),(-110.1727057860225-48.760896510836595j),(1056.9885963903507-188.72710447551748j)
(-10.140387249423405+7.851157351969232j),(8.761718277610964+53.04093850133789j),(-6.93770179116922+27.684466027812803j),(508.7470305038654-350.5002263038798j)
(98.65352893161221+48.37306225807771j),(50.05847748350532+54.82169950331952j),(-392.37351233999254+73.20969211310127j),(918.9958678485717-488.9441951188543j)
(48.38170557136598-26.14906550757551j),(9.404239516571764-19.104029118817j),(-128.2823943591992+32.32716787325514j),(324.47463298742457-373.6053275972862j)
(-0.582683645199757-5.9674231298598315j),(-43.178786592202336-6.986800630348675j),(-48.41658228884385-148.4199743498638j),(717.6769914389154+132.89876749342434j)
(71.80557257974722+7.782566909107514j),(9.520386267493352-23.532888437204164j),(-100.63425112763434+35.9152149873124j),(291.5987717924555-33.538418918008404j)
(22.11597082689172+45.79419752756929j),(52.337772822413015+30.18778007434833j),(-185.00828489911316-24.015339941010154j),(426.3782683471564-423.6851563297249j)
(-1.5257288653135068+11.790373419250665j),(46.78245269354155+43.5936859516735j),(-88.760468422336+33.23244377254079j),(185.90960135582046-610.4366811391753j)
(-66.14432213632898-8.144667676837006j),(-45.57916698374926+3.653050634150137j),(113.53121969050544-124.9808542373503j),(802.3656254504997+880.3450664655502j)
(-52.898299259272335-0.29264435221401897j),(5.811375323415726-75.88866250305323j),(27.610128481038995-72.89033435715697j),(331.3668550142503+348.3009428018116j)
