(68069+1.8474111129762605e-13j),(78101+1.9184653865522705e-12j),(159049-4.618527782440651e-13j),(171499+1.0373923942097463e-12j)
(-44.68954356737323+13.010853647270391j),(-88.83442670757802-26.892127517955295j),(-5.634802743479536-23.70694906665649j),(9.221312381059736-9.194143775678565j)
(-53.10289141013588+24.767074871870417j),(-72.55514039544913+37.60415799111307j),(1.6249639835178349-2.1194124237899588j),(-41.37928055338401-51.05121888523124j)
(-72.46970067543035+82.94641378112333j),(-119.7984140039604+89.92811243469089j),(27.21644738366534-46.803615194871455j),(51.32616216792401-50.65295887980189j)
(-40.34841484836643-39.971353219294116j),(-77.547723784252+6.407357359598833j),(68.03903082118822-23.22826491398446j),(70.24812000749742-25.416651920474376j)
(-78.6731230434227-26.30501034649186j),(-143.8594548251992-34.520291333278855j),(38.887551456415814-55.210248149752715j),(37.10989995049568-26.00686847007612j)
(-8.58520646520478+79.91229077547972j),(-39.530386313078154+102.84534779744683j),(34.39200491805015-58.232316420913136j),(24.790856772429837-29.203832950386634j)
(-37.609748362282346+68.1876786624075j),(-46.381157444322476+65.47944415039183j),(21.580324979278387-78.25243750625805j),(65.1755106791561-76.56473568361558j)
(-85.04700618834684+65.22435879188289j),(-83.59360185515499+49.810472586650945j),(65.133613340306-36.108262103760694j),(74.13740588028482-52.47542297462087j)
(-56.42466040942697+46.58294930326973j),(-124.46215203429138+78.06163619052752j),(70.61613806500698-50.80556216288113j),(66.73783952760785-35.473362808490464j)
(26.690984802951213+24.879169164754984j),(27.021818008232668+29.37929566943748j),(-15.97516046730436+12.736914509422032j),(-19.773067750670286-21.905468674494795j)
(-46.960758044993156-11.156347070455308j),(-3.6880948102452233+34.63440241229623j),(-4.826674579354436-3.4803159421589607j),(-3.175904415048501-12.176537988330688j)
(-58.16531132515693+127.65414884733833j),(-120.33549728873841+201.6961120802515j),(35.35513510585166-87.53394381968522j),(34.27835989304737-116.0196919284085j)
(30.346670195680897+42.80012464269705j),(31.546340851930765+113.82389358198044j),(-23.231400975463245-41.51723445622457j),(19.957888763969393-53.75171693305363j)
(-53.489368519932135-32.60081206285197j),(-105.30040580602736-42.23205081668782j),(21.328004929463603+16.071596738068962j),(57.84484953124331+4.916167726205568j)
(-67.83599257258577+86.89910608303653j),(-72.22941638136943+63.34730682904956j),(-5.11452280065839-37.76899714436315j),(5.581685872763087-62.86800336580384j)
(13.367624216733965+84.72319842175128j),(-14.691399123363013+104.35870571117866j),(23.1363995183194-30.41517476473557j),(35.25075286019932-73.82435936863226j)
(-49.99533951183034+7.1329847060669405j),(-121.59459939072114+38.90989049836777j),(34.96524921408781+4.992121107102303j),(75.80087521673235-31.166231705645494j)
(-127.37035056687237+10.23611771940049j),(-141.60789739478562+16.787059501981126j),(66.79540605649872-92.9393227046697j),(118.71068800125828-40.945231966061954j)
(-23.272897752177617+37.368385946311975j),(-5.9657413405309185+101.25939773804193j),(23.44231146709228-63.9282915434143j),(14.27769179037178-67.96940723434457j)
(-57.180965019577336+52.730694132782666j),(-31.259811198776035+56.42711170249156j),(25.98660204291451-39.24247109357187j),(39.583749216050926-80.24090216360104j)
(-88.04531906153763+80.91997306941265j),(-105.15002308676641+152.5279574521275j),(29.560252991770632-28.671393911108257j),(98.08758062028842-97.39046960079024j)
(-66.37304038973377+36.22260240878058j),(-80.44571976005012+77.36022297289661j),(48.310385578043984-18.303584736795365j),(58.29562604743658-52.90185294356604j)
(-59.09518468470174-4.502734774648001j),(-87.4780493307085+14.315905715951871j),(88.76149720762551-30.031519887489992j),(74.92758795606272+2.3513591381502152j)
(-5.45462678127411+19.707695837603712j),(5.906438381329013+28.35079263009147j),(-5.833144959996171-32.028660890476516j),(51.02537619059548-58.77046384355255j)
(23.779819178038117+89.49495277030056j),(-10.926361266648954+119.25388109860742j),(0.3308566303764593-100.01550618321212j),(13.408195336679185-112.86995175637371j)
(-23.382775715988384+79.6911962063598j),(-42.91067354323887+86.20842330525088j),(52.879718655497086-79.097449251393j),(59.91723559067135-59.042894310702394j)
(-106.97869196797832-22.25249113925579j),(-89.48295369871919-7.240906742538915j),(32.41188730657387-24.86652540479317j),(96.03532596498678-30.033044419646934j)
(7.516946216159206-22.23439772565067j),(46.37588380968543-10.708589657080303j),(16.277149596332727-17.66695817937815j),(2.914987573022604+2.394103306209115j)
(23.435908332448186+78.6840762648736j),(-16.335002002493162+65.39761398805973j),(16.408561062238423-15.554406394246083j),(-12.546835329236679-20.436328803812685j)
(-12.251933394249708+79.34988715483311j),(-4.934974596063313+78.1872496247545j),(13.419198825750868-50.81884631116227j),(28.825564049374574-58.896061378153426j)
