(17731+1.5987211554602254e-13j),(20510+5.471179065352771e-13j),(32711-2.4158453015843406e-13j),(34631+2.2737367544323206e-13j)
(-46.86444522010436-20.1380340346941j),(-35.63270528020649-5.454817893109492j),(14.83340739778432-2.5096777690295875j),(-13.897804746870008-12.554079531994024j)
(-5.766388235697223+31.29998958105956j),(-26.17969225866297+13.228351309555048j),(-18.49461955753503-15.050039907590833j),(-10.98443447971669-10.467931395609437j)
(-19.22913448987181+53.39523848359013j),(-19.247067771047277+22.83585278921909j),(-1.2821798535863982-22.683350771590117j),(-16.303663205937045-35.65371781948039j)
(-18.126326299939045-4.131258546270915j),(-14.264387314891476+25.23301821687432j),(-1.506324044201513-12.354312634744417j),(-21.492462414417425-25.23624345058554j)
(-5.5853949975673665+8.461594489232873j),(-13.02818713639044+20.38594671151828j),(-25.18435239406196-31.4605584649953j),(-24.05823114891235-16.738346040397516j)
(-31.570780789288968+9.656205881679998j),(-23.73229588073821+9.444872976546737j),(-0.861762544475156-21.488607175621247j),(0.07809069718917458-16.34278024891759j)
(-32.358837516681646+20.607823308457533j),(-46.48325812817453+14.322132417764465j),(-7.322420616907957-15.905360485741419j),(1.0477736615433049-30.07802203317516j)
(21.030565007725677+13.149648978736794j),(-17.354008875635206+18.388338882212587j),(-1.029660361603998-28.151803475865478j),(-11.13082243957357-20.99183547121639j)
(-1.1093998632372601-0.25697642814510324j),(-16.433317843675656-4.7346928834578685j),(-15.242301802336314-12.974504643115454j),(-9.080445096924068-19.04522871462364j)
(-37.5815833680366-0.5499664297364326j),(-23.63937662513553-5.687279421001723j),(12.88422366165732-6.629792258446116j),(-16.022401284273883-16.226849589493895j)
(-27.539669592945657+1.9662075154129166j),(-20.67718765102671-15.278273848444522j),(-11.006409072713504-11.019826212472887j),(-17.843452088855788-31.984635523315312j)
(-23.721269177888782-10.594673981808848j),(-3.7627164382027414+9.835073207697405j),(-20.719008818488724-25.070177211776343j),(-10.843575657482216-5.144736828936788j)
(3.155587031931664+9.51138638578495j),(-8.991367519180098-4.495263572145989j),(-7.8507675146191795-16.101929494576563j),(0.3119530400488175-10.905778017745074j)
(-49.1508649006069-26.57313961150983j),(-10.083698648600269-0.36459016816041956j),(-30.875360977227643-30.406483020038117j),(-8.230617785234365-21.399815025282162j)
(-43.203474244760244-3.1431813285869588j),(-13.541869059307942-14.723576127029284j),(-19.716437488399762-28.371571210112187j),(-14.077597461032848-28.92055624755239j)
(-23.1146838671321-26.532609269372834j),(-31.782411807639228+2.2568590547836553j),(1.1834327103850981-11.069105367227984j),(-6.027709953866865-17.66684612091889j)
(-12.820400207820867-17.246184642277328j),(-11.164656877559842-22.286635864090815j),(-3.773496474066965-29.096785254080615j),(-18.375076134067758-10.632525064975104j)
(-23.653116719352546-11.59204767616166j),(-20.443927947028122-41.58470819667349j),(-16.338101174417623-17.726439305332573j),(-13.343885627460628-27.791378497249703j)
(-25.88004509125899-31.858619448744548j),(-22.3952228266301-11.634482401890093j),(0.20859918252933074-19.606855527451632j),(-5.568127566152358-34.99939206305684j)
(-21.965979221583236-5.345568526760232j),(-4.798307983065955-5.103378588634059j),(-18.726696127264304-11.933453963647306j),(-23.962305910214987-20.127667569024677j)
(6.044490529231101-5.71199877799954j),(4.335426559779965-33.32452516442039j),(-26.17080311264653-23.503392980610297j),(-24.22025187712374-27.372460407170422j)
(-27.64330728778595-7.808923460802132j),(-5.283820605203568-15.085639045357565j),(-16.231190406890164-23.398929534166463j),(11.630314454861988-16.953224633141918j)
(0.2703095147945369-39.61589948089416j),(-18.755331993371026-19.758271015350264j),(-28.333900823845166-19.569380446511662j),(-13.051526129052526-13.310758193617454j)
(-3.9729184156654354-0.8067981155303507j),(-26.22083531801826+3.3565456445386257j),(-33.797744681674985-39.22732727421486j),(-18.03419003524175-43.99905412415758j)
(-43.03969206975458-12.803665825273383j),(2.4796168080228567-17.791731534774748j),(-11.17659796195093-20.943147776240984j),(-17.43706870804183-40.25819928989748j)
(-28.852583848486425-22.40951131824527j),(-18.20794554957205-37.673120180138866j),(-19.0641993057151-28.31341060430171j),(-17.38206223475262-23.85997628678544j)
(8.419920915277004-27.172013456367967j),(-26.3040535985269-29.125931963043186j),(-19.3344190525356-10.598261106888936j),(-16.49919447197936-32.369574904659856j)
(1.0661842241362969-11.53866568407732j),(12.264363986376619-33.40023422681206j),(-20.497363183310902-46.567346500459266j),(-26.21137654995497-40.06997711041518j)
(-9.205558432047575-13.493361056528205j),(2.0832636034874916-35.6744437521727j),(-24.945805426418275-52.18372813800402j),(-16.07690620454818-57.15225127332929j)
(-34.72313818568687-28.08468803459274j),(-4.618587769987196-57.866688660024685j),(-17.56482867307244-50.69689865101157j),(-25.3888671571833-59.86966243398567j)
(-31.88679053014022-27.73788332158058j),(-13.458462045126527-32.464469732338685j),(-7.605732862243876-77.59232566711057j),(-16.03742431241644-71.83865556956445j)
(2.816378143215708-21.059119639859507j),(-15.723413447885678-46.03600363136151j),(3.769619172136725-71.61094291794464j),(4.716888820690549-60.64200023061357j)
(-28.47266149955325-55.2831871156115j),(-6.103800156620549-64.63341788093277j),(-7.080327538590407-95.62258733478605j),(-13.421854915220027-81.87294395830185j)
(-7.753314324951388-60.83032998810694j),(-41.60116264137224-109.81533430725483j),(3.9551941286710157-120.41467595514644j),(3.0369999846593068-115.65097516884614j)
(0.906723150486723-77.15562310732227j),(-49.53433967529481-105.76402069158294j),(-24.31135990017882-116.54095058642316j),(-22.012591002781292-156.3806046229941j)
(-17.85320791332503-92.2860344669331j),(-35.755323412848476-146.90992253032658j),(-34.07359756856687-163.30997091982118j),(-22.837751020917125-189.8128266656111j)
(-3.2795440831424685-208.65019795059953j),(-17.78121857657331-244.16535279740165j),(4.322651462916781-317.82585816573703j),(-15.336248860517202-329.20162052894665j)
(-14.1479995291362-600.8866712148229j),(0.4443385111122211-722.0423663271864j),(-23.446202766409442-894.2521549969621j),(-12.01367517956578-954.9501735101395j)
(-14.147999529135802+600.886671214823j),(0.44433851111239164+722.0423663271863j),(-23.446202766410067+894.2521549969622j),(-12.013675179565666+954.9501735101398j)
(-3.2795440831418716+208.65019795059948j),(-17.781218576572684+244.16535279740208j),(4.322651462917975+317.8258581657371j),(-15.336248860515468+329.2016205289484j)
(-17.853207913325114+92.2860344669331j),(-35.75532341284883+146.90992253032672j),(-34.07359756856698+163.3099709198221j),(-22.837751020916002+189.81282666561123j)
(0.9067231504868722+77.1556231073232j),(-49.53433967529566+105.7640206915824j),(-24.31135990018124+116.54095058642328j),(-22.012591002781562+156.3806046229967j)
(-7.753314324951947+60.830329988107195j),(-41.60116264137105+109.81533430725551j),(3.9551941286715113+120.41467595514715j),(3.0369999846579994+115.65097516884741j)
(-28.47266149955354+55.28318711561167j),(-6.1038001566217925+64.63341788093227j),(-7.080327538591062+95.62258733478505j),(-13.42185491521988+81.8729439583023j)
(2.8163781432155197+21.059119639859535j),(-15.723413447884795+46.036003631361j),(3.769619172135833+71.6109429179437j),(4.716888820690112+60.64200023061317j)
(-31.886790530140676+27.737883321580277j),(-13.458462045126462+32.4644697323387j),(-7.605732862244871+77.59232566710979j),(-16.037424312417613+71.83865556956623j)
(-34.723138185685684+28.0846880345924j),(-4.618587769987492+57.866688660024366j),(-17.564828673072295+50.696898651009164j),(-25.3888671571806+59.86966243398722j)
(-9.20555843204779+13.493361056528089j),(2.0832636034870617+35.67444375217224j),(-24.9458054264187+52.18372813800251j),(-16.076906204546432+57.15225127332943j)
(1.0661842241376256+11.538665684077957j),(12.264363986377864+33.400234226813026j),(-20.497363183309744+46.56734650045976j),(-26.21137654995421+40.06997711041775j)
(8.419920915277325+27.17201345636859j),(-26.304053598527197+29.125931963042863j),(-19.33441905253587+10.598261106890254j),(-16.499194471979376+32.36957490465868j)
(-28.852583848486127+22.409511318245876j),(-18.207945549571782+37.673120180140415j),(-19.064199305716286+28.313410604304096j),(-17.38206223475272+23.859976286785052j)
(-43.03969206975409+12.803665825272388j),(2.4796168080229184+17.79173153477364j),(-11.176597961949854+20.943147776239446j),(-17.437068708041608+40.25819928989642j)
(-3.972918415665979+0.8067981155312971j),(-26.220835318018505-3.3565456445372295j),(-33.797744681675155+39.22732727421574j),(-18.034190035242574+43.99905412415817j)
(0.27030951479361853+39.61589948089417j),(-18.75533199337146+19.758271015350466j),(-28.333900823847273+19.569380446511598j),(-13.05152612905249+13.3107581936187j)
(-27.643307287785323+7.808923460802481j),(-5.283820605202483+15.085639045357798j),(-16.2311904068902+23.398929534166534j),(11.630314454862319+16.9532246331418j)
(6.044490529231179+5.71199877800013j),(4.335426559779961+33.324525164421104j),(-26.170803112648194+23.503392980611395j),(-24.22025187712402+27.372460407172422j)
(-21.96597922158359+5.345568526759558j),(-4.798307983065478+5.10337858863411j),(-18.726696127264947+11.933453963645198j),(-23.962305910215683+20.127667569024418j)
(-25.88004509125851+31.858619448744065j),(-22.395222826629603+11.634482401890024j),(0.20859918252987253+19.606855527453178j),(-5.568127566152047+34.99939206305674j)
(-23.65311671935234+11.592047676160636j),(-20.443927947028243+41.58470819667408j),(-16.33810117441672+17.726439305330857j),(-13.343885627458501+27.7913784972492j)
(-12.820400207821296+17.24618464227754j),(-11.164656877561736+22.286635864092137j),(-3.773496474065272+29.096785254083173j),(-18.37507613407213+10.632525064976141j)
(-23.114683867131507+26.532609269373673j),(-31.78241180763902-2.256859054784062j),(1.183432710386633+11.06910536722782j),(-6.0277099538652985+17.666846120919306j)
(-43.20347424475976+3.1431813285872128j),(-13.541869059308418+14.723576127029565j),(-19.71643748840043+28.371571210112407j),(-14.077597461034564+28.920556247551936j)
(-49.15086490060708+26.573139611509156j),(-10.083698648599306+0.36459016816063095j),(-30.87536097722708+30.40648302003755j),(-8.230617785233546+21.3998150252813j)
(3.1555870319319146-9.51138638578467j),(-8.991367519179779+4.495263572146724j),(-7.850767514617862+16.101929494577433j),(0.31195304004973723+10.9057780177462j)
(-23.721269177888782+10.594673981808388j),(-3.762716438203439-9.835073207697178j),(-20.71900881848964+25.070177211776635j),(-10.84357565748303+5.144736828936999j)
(-27.539669592945295-1.9662075154117344j),(-20.677187651025637+15.278273848444702j),(-11.006409072710765+11.019826212473212j),(-17.84345208885643+31.98463552331491j)
(-37.58158336803582+0.5499664297360365j),(-23.63937662513542+5.687279421001487j),(12.884223661657948+6.6297922584461j),(-16.02240128427325+16.22684958949268j)
(-1.1093998632370154+0.2569764281452614j),(-16.43331784367556+4.734692883456973j),(-15.242301802335092+12.974504643113724j),(-9.080445096923683+19.045228714622173j)
(21.030565007725794-13.149648978737236j),(-17.354008875636367-18.388338882213088j),(-1.029660361605405+28.151803475864007j),(-11.13082243957478+20.991835471216994j)
(-32.35883751668052-20.607823308457913j),(-46.483258128174576-14.32213241776443j),(-7.322420616907959+15.90536048574055j),(1.047773661544941+30.078022033175955j)
(-31.570780789288953-9.65620588168189j),(-23.73229588073807-9.444872976547062j),(-0.8617625444745196+21.488607175620093j),(0.07809069719126374+16.342780248917556j)
(-5.585394997567478-8.461594489231926j),(-13.028187136391198-20.38594671151602j),(-25.18435239406208+31.460558464998186j),(-24.05823114891362+16.738346040398454j)
(-18.126326299938967+4.131258546270976j),(-14.264387314890808-25.233018216873997j),(-1.5063240442015493+12.354312634745117j),(-21.49246241441738+25.236243450586382j)
(-19.229134489870663-53.39523848358918j),(-19.24706777104611-22.835852789218716j),(-1.28217985358501+22.683350771591144j),(-16.303663205935337+35.65371781948099j)
(-5.76638823569726-31.299989581059865j),(-26.17969225866257-13.22835130955435j),(-18.494619557534676+15.050039907590442j),(-10.984434479715436+10.4679313956095j)
(-46.864445220103306+20.13803403469397j),(-35.63270528020536+5.454817893109144j),(14.833407397786585+2.5096777690290017j),(-13.897804746869003+12.55407953199417j)
(-23.879576908919084-37.6253839498016j),(-21.674292482735133-40.34080403783187j),(-3.9803411673760563+6.856358751296028j),(-18.644157507128746+23.506549869613938j)
(-7.905580510361405-48.23304833138056j),(-37.78456921176738-25.269385514316216j),(-7.849600295430196+11.45239798920366j),(-26.165947410705016+8.368924960597944j)
(16.361436619179653-13.238755941244033j),(-22.80741219589614-25.55158828399186j),(-29.601806704694578+15.98557668158457j),(-7.687204888182685+9.601271656631454j)
(-13.65319941609278-15.95598749395542j),(-9.64584913472366-20.90150195778056j),(-21.366019680216827+5.383390363593023j),(-13.253690245105474+24.97904913635644j)
(-26.302448841709804-31.859568859711406j),(-6.614677546698125-40.88219610311896j),(-14.316838726077698+1.6831748965193123j),(-16.618537592405783+18.933607777177702j)
(1.4071023292056424-19.79216055255297j),(-6.552349929028996-19.399412815486187j),(-22.64511774515377+2.439468643114207j),(-22.633508810900015+14.565761507860863j)
(-31.26588800760763-46.29416766958978j),(-27.778763657792467-47.15849327344829j),(1.1174438679060397-9.452157892882045j),(3.5356531229033217+27.886792940521904j)
(-32.72473921726811-29.83205154450279j),(-12.279026096956352-41.618004479929965j),(-25.021676501537087+11.492893664126868j),(-8.362770100139876+39.58062698112892j)
(6.270857067350273-20.646514458514044j),(-9.606291434966735-13.408552539482358j),(-5.6463838267172815+8.751784105632296j),(-11.69073016569429+8.97521695464999j)
(-67.66548202137743-67.00344192362583j),(-77.51807150773958-59.652612137567j),(13.473074235401683+16.594134635976943j),(10.000067110867356+56.92868119509752j)
(-40.31697180698715-10.02927928404141j),(-74.64680750142328-13.493032239636822j),(-4.330233808987158+11.99170558181975j),(29.441532868010363+5.772610266778155j)
(3.889924923467117+54.2593980793844j),(19.605121388343058+61.018200033097855j),(-26.895488905700283-19.3970254985419j),(-26.277271027755138-21.19311693065235j)
(-165.35308280223256-65.39904340640742j),(-159.3200614941954-2.8059129811941323j),(22.969833628457472+11.083060951149307j),(78.23814564752713-18.00216612242132j)
