(11408-1.8474111129762605e-13j),(19465+1.9184653865522705e-13j),(56399+8.242295734817162e-13j),(59781+1.7053025658242404e-13j)
(33.765464338202065+19.465921849695977j),(-26.863132471046512+11.315928342181888j),(-61.51123234046701+130.95218762630057j),(-649.6851908345445-597.4093178546075j)
(-99.63840361348659-16.61437164077512j),(-8.334881658638578-56.90385994129836j),(25.65742831487014-67.85537042683211j),(990.2419511648624+289.59642147583077j)
(-51.50138329675072+35.43431906282264j),(-42.582912887375535-2.638753211225648j),(-12.01135304429081-95.11792340961856j),(743.0147405342345+268.17666472407427j)
(-24.757754432508587+56.32344010844545j),(2.5746875703913386+22.723320399250227j),(-122.54386031758455-33.22533116658682j),(273.5557338421105+0.5887126324899441j)
(58.82193697145261-40.85322170666143j),(-28.82489964291024-7.129260470105162j),(-323.9906068049892+188.6277248848476j),(286.2229316903993-191.37190225249816j)
(-59.205807962171875+8.78594707908115j),(35.43313090548113+24.14154338973831j),(68.8456461724335-52.31838812310447j),(111.08359945559732+11.139602129513179j)
(-2.565880913944415+35.84941943585172j),(18.580795459454926+20.463607156706296j),(-33.0200124122368-83.24251048451505j),(425.0216544350175-294.16948150109j)
(-31.177081848334375-1.2880273019032162j),(-54.88199778793633+45.0278950896097j),(30.92187210942547-59.88699844220363j),(224.72813024669293+154.55137062995067j)
(26.258373284277926-22.795738666559785j),(-100.47482040593583+64.30854649019824j),(-76.78631570268897+73.70187852442446j),(-128.9792831428021+352.8854624398268j)
(-5.08449927940627+23.020266596361193j),(0.6807722407571899+1.3722788198209965j),(-46.903722380845466-43.49270017894015j),(20.860778661969306-45.159620856092516j)
(31.61870112815396-33.31038158441594j),(-3.345748141620936-4.040003707168027j),(-149.1509648735591-30.78044077834391j),(-266.0857431684666-509.11430423145373j)
(-23.292841765364074-17.741068983880663j),(80.05252426201922+35.38715655106816j),(38.882877339295526+27.228140290069547j),(367.9232917684446+22.789499580179196j)
(-51.1637974659118+22.96848811819239j),(-39.582078197649494-9.419975386759432j),(8.827392006651388-4.984099017588442j),(419.15012558897735+286.0338469552454j)
(-39.02630727541018-7.458935928385794j),(8.843516566546738-15.292418194239955j),(62.980561550600605-114.5236695249732j),(234.8627641511053+43.01010743101998j)
