(77704+3.176126028847648e-12j),(90894+4.177991286269389e-12j),(129642+4.916955731459893e-12j),(134926+4.547473508864641e-12j)
(9.43542821403076+21.18400091373634j),(25.73224927116779-41.11319434324331j),(9.09357639569413-40.1599567939521j),(30.918264824005966-16.258749867074318j)
(52.22101780110678+2.650071240356427j),(68.02847487203822+18.6727059763096j),(-31.03355021204198-42.092352767608965j),(-42.289192929190214-56.19369042719432j)
(43.25914984163935-27.08343124788852j),(13.060205402244017-17.75783420719534j),(16.38477608198368-27.79039498038567j),(-14.971818659990898-91.09471828267935j)
(-4.421926026749395-24.12705846290742j),(8.529210194579452-48.014386454228735j),(48.12776658790962+8.5185799056176j),(69.0337637666078-43.560839068030106j)
(-8.39025635121354+2.4335588634579244j),(-20.76890318458805-23.665877234956024j),(74.62254549422126-6.202900597975276j),(72.71549872047348+9.191639012579426j)
(-16.399752161031003-5.795494909411973j),(-26.67721979459544-19.38143065302178j),(43.72335426838755-11.783119734902165j),(1.5504944423543796+0.4005700544828421j)
(17.66118472536124-18.477285182157154j),(18.825535817227514-12.85406796842656j),(-10.863222795374629-10.391353081351582j),(16.160851159002252-22.095536534107595j)
(5.511543087738698-18.647656419401986j),(-22.85711459533349-24.463245879702125j),(8.673240330564076+3.882338726669912j),(-12.38663681457478-18.026672001790065j)
(5.530550141579089+1.8398030433104273j),(-7.098941274712395-0.6667812418629437j),(53.40698461244166+5.172421141357008j),(55.014888236726115-30.05887793265053j)
(-4.036976180753263-11.283098697575308j),(1.4691306297363074-18.77242947027268j),(16.170176123690755-3.549313239117444j),(38.60919348820039-0.8525131490118696j)
(23.39767698418489-44.786675524567755j),(28.238813800310172-21.57332025400405j),(14.550314679230842-9.129208427547104j),(-5.389106636252044+9.567847152325115j)
(6.346452200483869-2.60978103295942j),(29.966745493197777-34.21188663455074j),(-0.48552037882834576-35.7751214092504j),(-42.56703536354632-4.76296117457372j)
(6.819320916915824-6.193191874205488j),(31.36996346134182-19.838693048246654j),(28.931356992939726-8.402009584893712j),(-8.557304799361585-0.8154839825602017j)
(12.413465907655961+21.441931120107373j),(53.2345724978502-18.74245768931415j),(20.777436192110045-16.20675196147202j),(8.108372963003047-38.50721660685355j)
(-13.212819774359932+23.38762326266451j),(3.163828355183853-3.722375652225126j),(21.60175144131639+0.37505769175562165j),(59.76447147289218+2.634956820182488j)
(1.7313118299069514+15.09724123712928j),(4.622675841796541+4.268470528112854j),(11.469235806258695-7.031102954654589j),(77.74447995072772-26.68785455036266j)
(16.502800175331025-42.44411572228766j),(-16.822546291460597-28.408715673878177j),(38.97421922723226+6.71735445419338j),(18.57401918673055+7.8279676882409674j)
(-0.6115771175955427-24.46456953269878j),(46.20209078142258-28.08533383224892j),(19.014731233539575-9.446175468720238j),(-30.949310807612772-16.906441674871335j)
(27.83742272505835-14.705443964039992j),(12.851921696719513-21.08988992917428j),(29.369239560057224+30.212995370164762j),(5.035159548685948-12.382469222310684j)
(-24.416565394499806-9.237450935767907j),(-4.584723280147225-4.38714788832643j),(-25.22362773701339-30.053321836793156j),(-23.927321836853906+6.606674768523932j)
(5.834206127339163-7.104906630386478j),(2.309431407739698+2.2042345833421395j),(-14.640885734882097-33.8929667284731j),(21.23308399852342-8.946872569204896j)
(-8.050742744751332+4.863057826256867j),(-15.760377181616358-29.665337386491956j),(36.98045776108332-9.23487722223107j),(38.53634356478474+13.130882917623316j)
(17.73291562016277-20.601420220149553j),(12.7047061954547-18.879337111291278j),(10.771690661184216+7.489053768446528j),(-20.526378627007038+22.359501761177114j)
(2.090941539782939+0.6532743387036608j),(-16.331389687110075-32.834593046151625j),(4.570144556091689-28.42157055571503j),(-23.8153711307428-39.86784752486045j)
(35.2493760440809+20.547635554492697j),(15.434715344949938-1.819295585693479j),(23.10333712610921-26.67144740191769j),(12.805835476684805+4.312794607978463j)
(-17.679828322941432-0.4433219142199345j),(2.9639775896715443-23.74000044359617j),(3.5253323779220964+12.171637425302396j),(17.401122295571504-35.49089204718589j)
(26.065942911780727+14.448279255655255j),(-12.867886835557485-14.54862043931584j),(-3.486728425697529-5.43916911651049j),(56.153104079314126-5.067054203490645j)
(9.08651922191861+3.8104064563020987j),(4.760169583321185+20.250070042206858j),(37.8249370879602-14.036768018519464j),(45.694619938696476+5.715310957999328j)
(-4.156785288948017-0.3856352769976248j),(14.375279909951644-5.471300675384116j),(2.8158338958407896+20.126181059413312j),(46.84315646793847+10.489255711602938j)
(5.909644470326533-2.914757587166406j),(-2.051645792354582-3.417890765110086j),(-19.72645576579722+9.001874821407814j),(33.80013761592214+22.693771493590333j)
(30.6162033096483-43.08030488999856j),(26.9215121001574-12.927140556448155j),(-23.633495402415168+0.7041639910498203j),(17.689008873937095-19.466475063216564j)
(2.0795404130105766+30.45703324509153j),(28.15252119090499+9.32478885448636j),(23.030222490923144-42.33230068934726j),(51.88959495970785-14.828701556165068j)
(-3.017036669213851+12.619222588969098j),(24.27772664140901-37.20120114666048j),(37.840214300106+9.38825510493792j),(11.36071600212096+4.659343180537594j)
(-2.147068848021535+3.354882264401351j),(42.211443463612014-21.219527348178893j),(-3.5157035979913136-0.6292523109196559j),(-10.751908504968453+19.235722566474948j)
(9.408745381109991-48.39430014173698j),(31.388800241315916-27.040851944994735j),(25.980497417858874-13.278713711248068j),(64.65162619609315-13.908136889301396j)
(17.981522102852495-6.081100600315754j),(27.213510020385648-26.42302304198168j),(28.124697453795974-31.675181530929123j),(39.13559496639761-4.36128967827354j)
(21.051023857192476+13.911428092043636j),(-7.42540539114038+26.71627412268088j),(21.404161255668193-33.85210160486808j),(34.324643869642635-17.423078246259557j)
(14.564536852674875-7.168879096385117j),(6.4732839939482725-2.195174911976243j),(46.10633652000671-28.200106963040284j),(9.689626596903812+3.4783756310583263j)
(15.670247388633985-0.624905462842543j),(1.2933165467498178+27.882902074529007j),(29.164016391277347+10.587935154403091j),(11.42732476531555+2.1530859715669886j)
(-11.656306996966213-11.413536742758836j),(3.4952961122967463+25.63737927607338j),(55.14741017750257-17.40747649707206j),(27.53428539499234+2.0525373923958132j)
(-3.1003655199835274+13.99003414810012j),(2.8451333044514833-33.96108384980245j),(26.08391831985463-6.724853905316568j),(20.953119024892253+22.388167196288208j)
(-25.291445410807434-20.948442956305286j),(15.639383326230128-31.9778302031248j),(13.36065909882965-11.399743584939358j),(10.726181197833647-12.657702583660562j)
(20.242119626013523+4.767952919011254j),(7.575945817763117+6.918827142393903j),(14.835847652998861+18.976867100327095j),(3.3812598079794496-9.290132635032442j)
(53.03758393948515-30.561401621214117j),(31.72339276766761-6.406158845083635j),(42.67073451238722+1.8330379337968807j),(14.726131030440229+5.06738396495584j)
(21.163318547739408-0.8050722541406145j),(8.406176030642442-28.466288099382737j),(36.815423236646026-23.765503701887837j),(2.9670359852573576+13.70326198027017j)
(18.180724932275492-15.888116631775064j),(-3.303069339699779+1.5813644724629756j),(10.83295204310272+14.232819158622817j),(44.91514672732758+22.408395587054486j)
(18.269797814196497+28.377601308962056j),(43.21761551663305-10.45105984052392j),(31.700820942375145-15.204715966131458j),(18.40706010992201-20.134395860299556j)
(3.6006978068465574-2.3823134562619077j),(5.55336604567194-3.665332230728245j),(50.47535529093052+13.049577373464817j),(32.76232591298689-0.03857674953739476j)
(42.01250927084902-13.266187759674628j),(3.432761660584582-25.28693241039483j),(34.93807540885303+6.570230993021321j),(16.4917256527967-10.198904792006577j)
(-11.432630211545154+7.517347168691854j),(-29.397495779783547-12.124168709187623j),(3.0651226305925685-0.24393491719431004j),(11.58283467142758+17.761113311238592j)
(16.437140460304388-19.12848998037941j),(-2.0175430185632734-9.893620285074018j),(27.363587113096074-14.553628098840283j),(26.81074100500522-23.758733385915697j)
(-9.117012586268604+17.115594057274674j),(29.753998778221458-4.314407544246448j),(14.189897859647207-9.042055254277107j),(30.315259705318354-35.55617437277742j)
(37.35493098671558+9.510026800579563j),(-10.375967993796383-10.537111773931265j),(28.030266594700112+19.268010768210722j),(24.32967553260422-11.479968842755504j)
(10.348590317052842+1.0263341472296994j),(26.17414992512771-20.882348901608175j),(39.13976256801489-17.826049490284003j),(19.678244693624777-3.7592981788204565j)
(50.632159002780114-26.558635634068814j),(-9.408137256981156-22.543856043824533j),(23.476355259093502+24.262684958478314j),(23.88983476021362+57.513856194963225j)
(25.81637510608593+3.121154484834186j),(-0.7197148801275919-7.554116898627225j),(-3.3848885050140343+12.486672916002625j),(-0.830857536571116+1.5934448851285459j)
(0.016792907944077395-11.31609752795759j),(10.816295936848562-5.638965880779346j),(13.323650292699126-4.364961906342942j),(43.229714978917535+6.788597874067669j)
(22.68746476516105+3.06958765508813j),(20.691259314435573-16.176469208724416j),(28.78957254919753+12.239982503632062j),(28.944207304465618-25.68738685213051j)
(19.279949116450247-18.13301031733066j),(-29.71267915419003-4.54193945578747j),(25.70082645668676-1.665036228265535j),(-17.92262150174878-32.58659893287658j)
(40.06886137266791-10.333739236391972j),(17.918745334191787+6.380422245034005j),(11.6077908045941-3.0520143404074185j),(7.581267712817599-3.5833448976787023j)
(-11.603657502899436-12.31795454904857j),(-14.421373724907472+7.882961033722264j),(-19.870236504544305+5.509995563481622j),(7.445417857982487+31.96690681255948j)
(-26.964658708078087-0.8192319487307089j),(-9.052640690198892+10.952686385517229j),(-12.247328126657415-5.865335443231098j),(55.2585280953366+26.49307850463247j)
(-0.39229070325422644-16.300233758909116j),(-4.496410342374718-11.10645047864995j),(40.17301742174909-16.781564274289458j),(12.357233343970549+0.1782480349253115j)
(14.220304492848676-5.608836643962722j),(-12.493407728101964+27.997237171314993j),(9.576673891517126+12.95982693347057j),(3.128221172128481+2.4182671125740844j)
(-0.6319654567354775+6.044284517520362j),(21.20821722650603+3.8355999975304815j),(0.2847662874580088+42.880051670046456j),(18.961498234238253-59.26613867620884j)
(-8.436072265312584-2.435607492284458j),(14.124321556001474-5.293339089415063j),(22.401013988811556+9.177581996109247j),(52.09677019464358+9.671826716096447j)
(-5.347215751142543+8.190976759045423j),(5.6458161858849385-30.445360200672827j),(-6.884448665817583+18.416022938641404j),(19.86295179963394+9.050204850124093j)
(-2.6843013014441515+7.704572079796444j),(11.623459851296266-15.095721538653573j),(27.587310399058545-32.82568898603206j),(51.145743439128786+20.379692464980035j)
(16.189869206933576+23.425881543075864j),(17.628298426699256-20.509201383100713j),(-6.817890504506126+17.118449312774114j),(5.078285975939929+9.324523258042714j)
(-1.7900134901337346-1.3923858719231266j),(-8.711055563002066+1.7839333106403688j),(22.543331931819747-32.1049211048641j),(1.4864689359374665-26.784859503819817j)
(29.483032522223347+15.871352899216546j),(-0.6720504110010284-5.3623839484576035j),(-11.452409381783703+9.134477746892388j),(3.3414684846615716+7.688465048885768j)
(-26.66903403944796-29.993110455757193j),(-10.060229178676082+15.270430220785382j),(-2.16620709528267-6.987149769637996j),(2.056787793989116-1.4962530460040153j)
(-7.594131411346027+18.720756383604567j),(4.82760340981004-4.5193964407670055j),(-49.45627762609779+26.222348983547512j),(-35.798491498444655+18.9288947117753j)
(10.080967523254731+7.408357204999929j),(30.208038300810824-7.159238123877915j),(40.76535644345479+44.54084189742789j),(69.89726794078972-18.062550066883276j)
(7.519079944287599+3.461354394891036j),(-17.28035651536672-9.709636919090089j),(36.26982609618753-20.64621426315869j),(53.86721905113611-2.1799105811664976j)
(-1.4913129504997462-11.502748266508325j),(-17.097919865237014+18.32007971228961j),(0.02176270113657308-12.815702637807012j),(37.64561123430962+25.527953959891043j)
(23.136239366358964-13.35707792975391j),(-2.537331252271093-45.89225473717524j),(4.670178887218222-1.6682224146993503j),(33.974955656026246+15.368691744391562j)
(12.12773191366916-15.765706343139144j),(18.946413692470326-22.918113219688458j),(-12.98073264116189+15.43975394583781j),(61.74025508296468+19.91977760430126j)
(19.391440239363753+7.717886335391546j),(22.188003455023456-12.56361663174271j),(6.423121415789747+20.592342924242267j),(45.012045197490714+66.40788101923792j)
(31.73325292452563-10.32000103310115j),(59.239716928871275+5.826128284362918j),(-13.980222927304851-3.436493100153843j),(24.65263400776012-4.3605440040126116j)
(-18.68881246200706-5.149499140843431j),(-1.6824249798132076-4.760313262839972j),(33.440582233454485-24.456612124446085j),(3.539032937068777+12.703164827030776j)
(28.148342272521223+30.15471423482608j),(47.91036640931363-11.982286673893695j),(19.157791500581077+23.109713694066578j),(-2.272407960103447+30.783269990495185j)
(-17.949165903595592+10.6348593359454j),(18.965371500333177-7.460264183694653j),(-9.911889006761848-22.479810534367868j),(48.98425406886997+20.99417117504826j)
(14.510906086218077+4.0885297859388885j),(3.300693994095015+13.526729330810351j),(41.35118921855046+19.23644779889003j),(18.54789382523724-20.557209240982267j)
(41.574625986966794+15.572612879177488j),(32.55475408194091+15.869589246896911j),(20.881219492348837+5.3686509259292645j),(1.895653520983755+27.278571711875983j)
(-2.7873917240059143+32.33311796475658j),(13.415476316727643+7.774068442257252j),(-13.226537431558718+1.6868730480894962j),(14.188900930617987+32.54015206134528j)
(17.98848696286479-10.530329984767084j),(-3.7741787733315135+20.619022632684707j),(43.66595401999074+22.590610210275898j),(-3.222311520519223+4.939520033697337j)
(4.346980407787685-6.745646595294118j),(17.007978053450003-11.122575846918576j),(44.92460597594616-22.63281594359664j),(-4.330078828535955+3.106731966979215j)
(-10.568336962984988-2.5855096372106092j),(15.755471894223712+11.967386998663644j),(11.99206590300166+36.76532851944771j),(4.098233803023129+7.673601051653928j)
(12.456913104366608-21.68866104549643j),(1.6549229220653043-9.79098414873475j),(-4.654702107395019+26.132896288466043j),(27.667001795631535+2.683108669424465j)
(36.17815305641408+2.2432800842886724j),(-2.179450707159152+8.430006576553275j),(-8.206709186935827+17.08820074638888j),(36.26075185226475+51.66990351380483j)
(25.543176810894522-12.627467603448068j),(25.835491308796417-14.846203684998208j),(25.37562960951489+29.673453557954176j),(23.51052082677913+11.771700948389457j)
(13.816988398758973+11.721673197237198j),(24.846777894616036+44.54426006646986j),(21.49726608194905+2.417603293445598j),(2.220699454120731+13.76002579064005j)
(-27.745546179952868-4.434638814483124j),(7.034218363076866-8.421185641118864j),(35.42852989130865+30.46843917556181j),(-3.6515771695755053+26.899193558787225j)
(1.5467098291114576-13.790647924824778j),(-7.394952367915037-1.0659617149114093j),(51.15590563610952+14.584408035165563j),(-5.245821490893675+0.7956527670002784j)
(3.4916667432387634+33.647837509652376j),(28.792530498310228+13.468297517193836j),(3.4075682695490386+20.993076291434743j),(27.53939941213109+14.990707435771164j)
(-7.548165366947318+8.173572678665293j),(16.26926640160963+5.5104924699874935j),(22.111168013445592+6.976056611960806j),(38.78598962992051+27.084239478696645j)
(8.021050236584331-16.818371343730302j),(9.213215727142899+25.450039807766043j),(-9.382801416369766+34.218277483480534j),(48.883478268100106+16.627577701050587j)
(-26.67112858509424+0.11451650026089855j),(2.284378587678855-2.3027613336735926j),(47.54615874571255+6.876016737262651j),(7.2211519357009015+42.51688477026425j)
(1.806146383957687+30.504112320149552j),(-5.167455516911623+1.6042497041290111j),(39.95414968599403+41.917006316666544j),(49.89723383945894-3.0870482591443285j)
(7.75578626793628+9.104194294651808j),(17.600171611454666-25.050347734268666j),(11.80987984860657+17.281376326315886j),(17.824994775527895+63.751814725557395j)
(5.142667231125856+6.769555789360681j),(44.77379975414098+3.475579272169089j),(-31.796199916510783+43.05837451139969j),(-12.15563537912457+18.441897061174608j)
(21.52080629964202-9.986824722050049j),(7.3992519678033695-29.96928209610643j),(6.419365222070397+32.22564259066738j),(1.537573897900454+12.801441219098669j)
(33.75576272032305-12.683129931351592j),(6.156966362178176-10.09501949517262j),(20.680076684811667-0.8408015334262937j),(22.67770885933381+11.359062662563312j)
(18.623477940382053-12.155084465086539j),(-6.749730536484394-0.9915353733326984j),(28.640460244946205+24.316387289584707j),(-0.5162290946083639+22.685102512361464j)
(34.27669667358306+1.1666219067338375j),(-19.673593130353176+35.116344605137904j),(30.589249904633014+35.850224138587414j),(10.433103095904423+2.455899949045304j)
(11.389649578973668+2.2872544596902986j),(-12.45071676689711+29.083531883284277j),(-5.533301075703159+22.28075153026972j),(-24.87509574579829+38.34130928062395j)
(9.1803307350473+15.496492592961037j),(-20.307722894515322-3.7371399739973428j),(3.8558370810370444+1.1102435828592288j),(15.5382660555024+38.23940144905445j)
(-15.28038889777034-4.840672257298742j),(-37.88343195023692+32.970068158733625j),(7.546297802349924-0.6808362972991069j),(42.79734519111402-1.3978921782960976j)
(18.185589789382668-3.3873994629297277j),(2.7450404933850505-3.6569441278392576j),(4.909493051651367+24.586084672452035j),(11.204947472348003+18.36489500233321j)
(14.293854010259906+2.2943722966364533j),(5.458932428755114+9.52971929705585j),(19.623144895750098+33.89194889802564j),(10.837262590612085+19.710955640633095j)
(5.362954950895812+29.124874593516463j),(23.724612727828053-16.525218761531534j),(-8.256208947304277+14.886445050354j),(-22.803778733325682+0.5264732850123934j)
(33.74849515052848+8.12877638595435j),(-4.97709123660215+12.112630970480465j),(62.95428289642395+6.602647734977374j),(26.608955045015875+22.138820261588513j)
(-6.2477993804892655+21.566520268709027j),(23.534057381473787-33.25447512039446j),(19.332592150633236-12.58302134342986j),(15.586905537939195+29.689793780039345j)
(21.519990184033993-5.144455773058071j),(25.142011695944287+39.7374640544092j),(14.79296587130255-6.826693375835961j),(34.898386148651305+28.03863965783566j)
(11.087106737788693+9.231509272548593j),(-7.918032358927241+15.241774489351432j),(-6.039716389488711+16.619002955754016j),(35.899411446487605+13.610833348636085j)
(22.549172625796672-11.873942362563888j),(39.23270833157382-3.735231448737043j),(25.9976427387256+43.531921625326675j),(30.020983231973936+9.86333615534568j)
(20.969667446955278-1.4851366805163373j),(-11.602352090171042-19.42603876565533j),(2.803089253719506+21.5378659700021j),(11.820041633206145+15.816133985286172j)
(11.02358136705519-4.879799857783998j),(41.279561746618135-0.5757519426163871j),(-22.023708964477372+7.499512387089778j),(41.494986549911815-5.987486892850553j)
(12.390532202976654+19.84718861787402j),(4.969692586768157+8.412316111718615j),(24.200265242159965+47.32066620418411j),(18.04548849063937-5.416245907139934j)
(29.980949972946867+2.7211418372615723j),(-29.059246155010094+7.8320767731882315j),(22.51988338181335+38.76546717708834j),(42.65807357620911+38.066758555144695j)
(27.364296093100748-9.310403877472355j),(4.465878172373866+10.024127407691237j),(33.1501565104403-21.913948224093485j),(7.836661032307029+62.17886029358327j)
(13.473727551650983+33.039349416161485j),(0.24182919008986303-35.759411367857396j),(40.04323889697643+26.61229852518038j),(34.46049238601766+31.381200291095652j)
(22.886345718664586+25.638256346948143j),(1.6988118341500753+19.271860878561878j),(51.55016390714257+28.42919239052929j),(28.73951179337001+69.77739194333124j)
(6.258107661582878-37.32170819496072j),(2.327710189742806+19.839014258217425j),(28.68686483670266+19.87139828530984j),(20.70585586812527+42.92968864785196j)
(4.143065498792048+9.92041745590975j),(15.219595965317794-12.708249633033967j),(-16.135529184787476+5.559644799773826j),(9.651546571895777+15.331056799339033j)
(36.40863407627378-20.68337562782444j),(-9.464605696307098-13.870695448890032j),(30.42395950914771-2.618737984614854j),(17.847288819456317+21.010145310939343j)
(4.815240338348618+27.419688190696377j),(9.567960543065137-4.391966311587065j),(2.43477408189156+12.588935707322157j),(5.905367931395677+21.90944111344333j)
(-21.49106741170085-11.668487852230768j),(-22.825517602485053-10.05733978813113j),(-6.97949557690495+7.680569319885636j),(-3.2931118577216676+23.68294343452779j)
(4.368849499120142-11.132707452404324j),(8.40999924474055+27.217411884645212j),(9.789884520776214-11.06795610550095j),(32.72919599246143+72.89965888632804j)
(0.12073853490248898+13.566262609704577j),(32.67833886420265+26.859700769653784j),(6.88696761113253-7.900572073431296j),(41.90098179514783+7.4223799745586625j)
(-3.2435610171224702+15.29726574966061j),(-9.160726792457886+1.5383092815862538j),(18.022168249094854-4.158411837988684j),(2.637821355166789+58.369060098462086j)
(-26.9373568811869+15.410233131860059j),(12.36492465193682+29.660189891526674j),(-3.976077640407749+36.26206328911414j),(15.244193790833492-20.022766290538318j)
(-10.508860132097743-4.20494321323155j),(-14.922850011094948-27.094128146730156j),(12.551400158608235+39.152856069220874j),(38.12276224109131+66.04794475633216j)
(25.39803128597474-2.995894687329049j),(-0.767418971044113+35.75034119175575j),(39.12708729642221+15.826546382681988j),(13.96161548999681+41.80390140141779j)
(-0.37395933209640253-4.628038576854673j),(16.31233622160137-1.1072032745768743j),(-2.943714736576787+40.33567063774074j),(26.084514505317053+29.263490720336247j)
(3.2422170939909245-17.402218750074955j),(2.1127261575338396+8.053089402720891j),(20.435167900479122+26.660820990957333j),(26.869474793338377+19.41477396791453j)
(38.31048152077294+19.25386655327449j),(-5.425448776417755-15.592918790248582j),(-6.593416405489024+8.032297428626267j),(18.126835164568806+18.50289658310539j)
(3.1122910199502707-23.71011059433125j),(21.727617227369148+0.14687957664651963j),(-21.253136448687947+19.386851139649355j),(33.24013303275461+17.670286824944384j)
(53.32252896561102+29.723429417214568j),(-11.391287260948193-18.740049936948644j),(-23.1065791691291+48.07501359784139j),(6.405599013833999+55.64794917853591j)
(-18.241083280327572-3.1964903145240866j),(11.128851433566023+6.126790834262961j),(-15.959359360579557+58.636467958939065j),(-25.248229093236375+15.525956370767183j)
(-13.943124442379407+22.74441145609681j),(5.407053390741643+12.94086598838244j),(5.273965254280078-8.680966923039895j),(12.124419517451841+20.167114661597953j)
(-14.206741106682994+22.347266276878194j),(17.23693378273214-2.341326214720505j),(27.282977147665882+10.172701973060637j),(27.00879829835239+11.531370704154574j)
(2.6537755788931365+1.1833233839551023j),(19.21232364362617+20.940609777641455j),(3.250358556481186+56.86439811395709j),(43.95760050267857+33.97841949959803j)
(2.8200479733042636+15.592981195079247j),(-1.1454433946327445-30.499364460485864j),(2.958575028367042+30.986189689769198j),(-8.183497357551659+62.11257145718683j)
(-6.6786439702081655+17.614369448660206j),(0.9555390898079577+0.5229145804874326j),(9.415876287481673+42.818048960278986j),(-9.568499344044305+20.21981940415673j)
(5.468480471119185+23.079243670082523j),(-3.1302960024592745+4.735909520182469j),(18.5138656225022+63.23114356150157j),(-22.18846461940591+51.5203351136815j)
(7.6159379283189335-0.577308293446249j),(19.857584683297365+18.926936436136966j),(-8.354400471797259+32.66246930398404j),(23.77627531896615+10.459075886230828j)
(-20.04977767025982+11.041398746976542j),(28.795345390922513+2.005485621504257j),(14.917457166324082+65.73196970224005j),(30.188260960833993+62.50733965193501j)
(-37.543287895855556+2.160725899153423j),(21.04222457061509+49.41712371910836j),(11.990181864810989+52.12467898376846j),(-0.7717234355481679+66.16892927214387j)
(19.78908152680999+15.014985402096253j),(-41.00938385676676-0.4786998104371918j),(-15.06655352086493+21.640188030737605j),(-24.447475285219248+39.46096519389391j)
(-3.8345528519601424+38.363773961179504j),(23.45760486783814+9.14071248741592j),(10.39565275258113+23.498297515840527j),(5.8546622868935545+20.021849201510204j)
(31.50308013031649-3.811457732867j),(-0.42101760785067066+7.410191008903738j),(37.518419068395374+20.964338870872737j),(6.950967535143654+45.4036640573529j)
(-13.3852808547361+25.271852098760043j),(-28.854448286793758-4.021460487943381j),(-2.4653884785355835+57.45189866782183j),(2.308142633517969+23.380275182688415j)
(-19.219345548066247-3.5885563109520806j),(-5.146571873057947-13.90306120828155j),(30.14523425214091+70.89730291959879j),(-19.04640653321071+42.74172450110634j)
(7.463952014869829+39.32217773331907j),(10.22358652203696+13.651489599713205j),(-9.562883566123908+39.024704190601184j),(28.79590193928738+41.3245027448034j)
(10.828976995978493+18.402849167264193j),(25.874189761294723+20.549551962997064j),(13.101096135204038+86.33514444893581j),(30.219433831767468+75.5071003771777j)
(5.357702613629376+10.573704142655371j),(28.26625744489966-2.5610262574379457j),(24.321230140714178+58.64785975939971j),(28.1033458369439+65.58661920620871j)
(39.63040153970781-3.378421282889371j),(10.452879247210687-3.913212319357108j),(25.806688859010585+34.35985770319218j),(25.849591741266842+46.47280697461579j)
(14.232065265514867+17.246962173836778j),(10.27129554461871+25.077407327429817j),(3.937714796252642+87.17482854810132j),(39.440855329234324+90.04196872694882j)
(12.235276746061711+23.170390352982977j),(23.30045974808814+43.471770930634946j),(-5.538167829615915+75.28431111269336j),(6.157308176266014+61.88769082049021j)
(34.06369520257769+40.1548934193398j),(17.429725932856265+43.3150968210143j),(23.241807333132904+59.2186370546647j),(48.97993270374032+56.33424886747326j)
(29.819231551112342+18.862188422293247j),(24.455233378049485+39.6776309289725j),(37.2828910374129+89.5433529315224j),(35.66685524358384+65.78169504350386j)
(-12.556331026313739+45.25003820279952j),(19.65693628192649+8.153705464495566j),(30.03009755561656+33.16011919898878j),(7.041468421588586+83.18923866337111j)
(22.76823563272534+31.61440399579397j),(12.545112158131568+2.133932866792539j),(15.314888318285668+109.63953300422094j),(37.648347222647985+75.55687352721532j)
(24.148101973435065+28.356320157842745j),(12.8526623839414+31.706643415460228j),(82.33803777497347+105.13580878876735j),(65.3358023011107+86.86959374854133j)
