sex;age;bmi;avg4;max4;min4;avg3;max3;min3;avg2;max2;min2;avg1;max1;min1;emotion
0;24;2;132.65217391304347;166.0;103.0;157.2608695652174;199.0;113.0;305.39130434782606;320.0;287.0;317.3636363636364;339.0;295.0;2
0;21;1;132.65217391304347;166.0;103.0;157.2608695652174;199.0;113.0;305.39130434782606;320.0;287.0;317.3636363636364;339.0;295.0;6
1;24;1;133.75;149.0;110.0;158.0625;176.0;131.0;268.75;296.0;235.0;284.0625;312.0;245.0;3
1;24;0;134.3939393939394;152.0;85.0;151.66666666666666;176.0;102.0;318.8484848484849;336.0;300.0;341.3333333333333;368.0;315.0;4
0;23;2;135.33333333333334;160.0;112.0;151.28205128205127;184.0;121.0;303.53846153846155;320.0;286.0;323.6666666666667;342.0;305.0;0
1;23;2;135.74;173.0;125.0;156.06;202.0;137.0;310.64;327.0;271.0;334.12;357.0;278.0;6
1;23;2;139.66666666666666;177.0;123.0;160.27777777777777;208.0;138.0;314.6111111111111;333.0;299.0;344.05555555555554;367.0;320.0;2
0;23;2;139.83333333333334;165.0;73.0;160.04761904761904;191.0;89.0;254.47619047619048;328.0;178.0;272.54761904761904;355.0;192.0;3
0;23;2;141.64285714285714;156.0;126.0;164.5;185.0;145.0;293.1904761904762;310.0;275.0;327.6046511627907;347.0;305.0;6
1;23;2;145.52941176470588;185.0;120.0;169.37254901960785;214.0;134.0;319.86538461538464;336.0;303.0;336.1764705882353;372.0;285.0;3
0;21;1;147.4375;607.0;100.0;222.75;607.0;176.0;550.4375;607.0;492.0;580.25;677.0;294.0;7
0;21;1;15.2;76.0;0.0;122.2;147.0;112.0;626.4;715.0;560.0;807.8;930.0;428.0;4
1;24;0;151.97222222222223;165.0;144.0;174.0;193.0;159.0;316.80555555555554;334.0;299.0;337.69444444444446;356.0;320.0;1
1;24;0;152.0344827586207;173.0;112.0;175.75862068965515;197.0;144.0;319.17241379310343;336.0;303.0;342.55172413793105;378.0;320.0;3
1;24;1;152.1315789473684;160.0;145.0;177.1578947368421;188.0;167.0;293.7179487179488;314.0;273.0;307.8684210526316;330.0;284.0;0
1;24;0;155.28571428571428;166.0;147.0;179.33333333333334;191.0;170.0;313.3181818181818;330.0;297.0;328.1818181818182;354.0;309.0;2
1;24;1;157.9047619047619;175.0;147.0;186.6190476190476;200.0;177.0;295.0952380952381;317.0;228.0;313.7142857142857;337.0;241.0;4
0;23;2;159.88571428571427;174.0;146.0;185.57142857142856;204.0;157.0;303.1428571428572;320.0;285.0;321.1142857142857;337.0;304.0;6
0;23;2;165.93333333333334;177.0;145.0;196.8;209.0;167.0;294.8666666666667;317.0;275.0;308.2;330.0;287.0;4
0;21;1;167.66666666666666;528.0;111.0;247.91666666666663;528.0;195.0;542.0;599.0;473.0;561.4545454545455;662.0;294.0;2
0;24;2;171.72222222222223;191.0;144.0;183.11764705882356;203.0;159.0;304.0;320.0;288.0;318.1764705882353;336.0;301.0;0
0;21;1;171.72222222222223;191.0;144.0;183.11764705882356;203.0;159.0;304.0;320.0;288.0;318.1764705882353;336.0;301.0;5
0;21;1;183.75925925925927;191.0;176.0;218.3148148148148;227.0;212.0;295.4339622641509;311.0;279.0;308.2641509433962;324.0;289.0;3
0;21;1;185.7;192.0;179.0;227.0;234.0;221.0;318.3658536585366;334.0;304.0;335.0243902439024;352.0;320.0;4
0;21;1;186.48387096774192;194.0;177.0;218.38709677419357;225.0;209.0;304.6774193548387;320.0;289.0;320.48387096774195;336.0;304.0;1
0;21;1;19.4;38.0;9.0;104.2;112.0;90.0;650.2;757.0;560.0;854.4;963.0;466.0;4
1;23;1;22.727272727272727;38.0;3.0;99.54545454545456;117.0;89.0;642.4545454545455;798.0;545.0;739.5454545454545;972.0;306.0;4
0;21;1;22.727272727272727;38.0;3.0;99.54545454545456;117.0;89.0;642.4545454545455;798.0;545.0;739.5454545454545;972.0;306.0;4
0;23;1;26.90909090909091;142.0;3.0;178.1818181818182;192.0;165.0;531.5454545454545;588.0;464.0;555.9090909090909;656.0;291.0;2
0;21;1;26.90909090909091;142.0;3.0;178.1818181818182;192.0;165.0;531.5454545454545;588.0;464.0;555.9090909090909;656.0;291.0;2
0;21;1;31.22222222222222;48.0;16.0;99.11111111111111;118.0;86.0;535.6666666666666;667.0;449.0;688.6666666666666;931.0;287.0;3
0;23;1;33.72;129.0;14.0;164.75;183.0;144.0;536.9583333333334;592.0;473.0;558.8333333333334;661.0;293.0;3
