(20866+2.6290081223123707e-13j),(23327+8.526512829121202e-14j),(44236+1.0800249583553523e-12j),(47427-9.094947017729282e-13j)
(5.211609187814186-6.23693983567962j),(69.34630571541767+41.16827077851739j),(22.204327364843344+40.40756911906708j),(48.94269495158206-8.32960775895258j)
(-7.953188163643799-21.515036684331896j),(-8.610165618617527+38.54936153832986j),(16.084571915328272+24.552622273208232j),(16.23307945902008+20.839176415206744j)
(-0.17677373823534737+28.223146814052683j),(65.20044839200442+22.986278450380247j),(1.2104446400917013+35.49584217640523j),(-11.441125221092104+14.995138826544592j)
(1.276036440868388+12.744706161657321j),(-5.356093861115523+72.73174956057765j),(14.572476560895637+25.234706791209327j),(14.390678987984531+11.081552976246126j)
(17.057589001633882+7.99912358442285j),(17.265571630981498+4.175586425408923j),(-10.091659806397743+21.548046602811198j),(2.5342713322075667+17.331230580025696j)
(-0.7474164953348126+14.703232402036042j),(10.49039749746293+21.521873196451516j),(34.16241014517031+17.686740103131612j),(32.28549483002896+14.14610861169133j)
(20.680164442344168+19.888149455347623j),(3.064001545701391-35.104666571304286j),(0.8518107157885328+27.473578187645067j),(41.987276634358274+24.418795412241174j)
(-5.829350224076238+46.937420901575315j),(3.994595874408489+37.757903750367056j),(17.558514193178173+15.01658469999871j),(20.79000223071145+38.64361105803734j)
(-11.594311627202611+20.606432427909958j),(22.604937591601086+15.104545548584607j),(5.898832008637953+45.74083583939798j),(6.529240464030671+52.84718374276794j)
(9.473493600055132+36.00554995852643j),(10.789571101329106+20.74668034776728j),(-3.9081876427469933+13.995500335631814j),(-15.376916443580926+16.02155408081655j)
(-18.0113525159064+35.48789605681761j),(0.8703462523331287+5.9777107822382956j),(8.257878886327793+35.816335612132875j),(11.717158410278044+45.43729949780758j)
(-9.23292236119633-6.859589142877596j),(47.82501770605318-1.0152967864175455j),(16.30617533079426+18.915244918429362j),(-27.433038848277615+9.765972208629835j)
(-8.581307282675084+66.88603656633306j),(34.52996438618484+44.20685335351942j),(30.771905792268853+30.22015919700387j),(22.1685088725522+32.31883993643407j)
(-32.08676722155825+13.936382515203118j),(30.82514689980744+37.86591104865617j),(5.377866657715592+36.908655377385024j),(-5.352314757561353+24.86373048798888j)
(-5.092208625059014+9.729238798379308j),(65.82288762440234+46.53390671185578j),(36.52125365307622+47.71038360732328j),(7.59965940363821+9.511525636115298j)
(-28.488026296857164+16.262466535621417j),(9.51157234675685+70.02528029660319j),(20.290449027846343+31.800099573029826j),(-4.946709360579673+55.38987141036745j)
(5.308025847504365+6.797665849306227j),(19.896286872058273+52.30854560998151j),(18.57141001349636+53.545500127174094j),(0.011694943729805729+25.129902377770883j)
(3.276509753390981+2.4689363279330028j),(14.748048313792445+66.76879962418252j),(11.360105657663471+73.93376834058478j),(-19.845674976438353+82.23755956248152j)
(1.308521979299309+35.31745384851031j),(4.126607373902584+52.821092202690146j),(22.757398720743623+65.48775656586156j),(-9.331121692084121+30.136578498314048j)
(29.004012244229358+20.066634117248675j),(10.353536832595736+85.28775825148216j),(10.05855369156452+65.01982903864025j),(9.7739981743992+64.64678958269447j)
(30.658033439359528+24.26226579515574j),(4.694797669486142+74.0313299684819j),(1.0794031127833463+69.89712950444022j),(8.407033599377762+84.54649332246706j)
(-12.672600615725145+50.58992439884025j),(24.136439298768753+117.77150870118706j),(8.781790161086729+74.8954605164031j),(37.124290778463354+66.41987152631562j)
(40.60586372995988+84.86289586397908j),(-48.29668427910751+99.50719434024117j),(0.8614330337791394+98.32249802298591j),(47.373237102014734+113.64691614954413j)
(-7.643260002351923+83.10631422402469j),(17.406011462602912+132.17434799159716j),(6.455797666119279+117.0539693302593j),(-8.395588203686367+120.02871735617214j)
(12.632680244045353+88.96933963740406j),(8.059495528368679+147.1785473375186j),(22.833096204929568+103.9686206766011j),(26.37988017644971+153.7338873376777j)
(16.51660477446005+118.97167952245377j),(36.1687906840733+196.46417458503453j),(-6.31575174191029+183.62129451713056j),(11.601907052756943+198.08664405119967j)
(2.799361215899971+109.2352805921962j),(-19.7931296313009+261.07862258506583j),(9.281841361051718+244.8794925237151j),(17.778488938848085+247.31810901988734j)
(3.491614120894326+238.9508415696592j),(11.603643688175737+466.31899727473296j),(10.356584838090015+401.44221748517816j),(36.494734509753215+415.37796836688733j)
(-19.040028896775084+728.6421191241207j),(-13.040371422943736+1399.4674738122083j),(34.98169306140892+1260.0285161513198j),(23.387834480692277+1272.9300866400556j)
(-19.040028896774118-728.6421191241209j),(-13.040371422942712-1399.4674738122083j),(34.98169306141074-1260.0285161513195j),(23.387834480694664-1272.930086640055j)
(3.4916141208944538-238.95084156965964j),(11.603643688176675-466.3189972747333j),(10.356584838092061-401.4422174851785j),(36.49473450975472-415.37796836688943j)
(2.799361215901854-109.23528059219633j),(-19.79312963130151-261.07862258506566j),(9.281841361051974-244.87949252371249j),(17.778488938846408-247.31810901988757j)
(16.51660477446044-118.97167952245346j),(36.168790684073606-196.46417458503387j),(-6.315751741908727-183.6212945171295j),(11.601907052758008-198.0866440511986j)
(12.632680244044733-88.9693396374045j),(8.05949552836801-147.17854733751793j),(22.833096204929966-103.96862067660165j),(26.379880176450285-153.73388733767814j)
(-7.643260002352143-83.10631422402577j),(17.40601146260434-132.17434799159864j),(6.455797666119735-117.05396933025864j),(-8.395588203685584-120.02871735617391j)
(40.605863729960134-84.86289586397932j),(-48.29668427910762-99.50719434024151j),(0.8614330337757998-98.32249802298496j),(47.373237102013206-113.6469161495453j)
(-12.672600615725596-50.589924398840644j),(24.136439298767762-117.77150870118739j),(8.781790161085674-74.89546051640338j),(37.12429077846325-66.41987152631525j)
(30.658033439359492-24.26226579515596j),(4.694797669485766-74.0313299684814j),(1.0794031127829697-69.89712950443877j),(8.407033599377712-84.54649332246629j)
(29.004012244229983-20.066634117248586j),(10.353536832595621-85.28775825148217j),(10.058553691564999-65.0198290386405j),(9.773998174398852-64.6467895826946j)
(1.308521979298206-35.31745384851022j),(4.126607373901576-52.821092202690735j),(22.75739872074047-65.48775656586184j),(-9.331121692086533-30.13657849831258j)
(3.276509753391095-2.4689363279333936j),(14.748048313792559-66.76879962418312j),(11.360105657663027-73.93376834058492j),(-19.845674976439625-82.2375595624811j)
(5.308025847504777-6.797665849306265j),(19.89628687205837-52.308545609981714j),(18.571410013496674-53.545500127174996j),(0.011694943731207275-25.129902377771543j)
(-28.488026296856276-16.262466535621293j),(9.511572346756124-70.02528029660333j),(20.290449027845472-31.800099573029446j),(-4.946709360578096-55.38987141036709j)
(-5.092208625059348-9.729238798378432j),(65.82288762440204-46.533906711855614j),(36.521253653077224-47.71038360732171j),(7.5996594036393335-9.51152563611261j)
(-32.08676722155808-13.936382515203391j),(30.825146899807642-37.86591104865612j),(5.377866657714913-36.90865537738442j),(-5.352314757561415-24.86373048798872j)
(-8.581307282674988-66.88603656633252j),(34.52996438618495-44.206853353518085j),(30.77190579226857-30.220159197002292j),(22.168508872552948-32.31883993643228j)
(-9.23292236119721+6.85958914287807j),(47.82501770605253+1.0152967864171476j),(16.306175330790847-18.91524491842812j),(-27.433038848282028-9.765972208630096j)
(-18.011352515905752-35.487896056818045j),(0.8703462523316858-5.977710782237395j),(8.257878886327575-35.81633561213363j),(11.71715841027536-45.437299497807004j)
(9.473493600054827-36.00554995852532j),(10.789571101328091-20.746680347766624j),(-3.9081876427472944-13.995500335630586j),(-15.37691644358276-16.021554080815886j)
(-11.594311627202515-20.606432427909525j),(22.604937591601594-15.104545548584069j),(5.898832008637989-45.74083583939681j),(6.529240464030945-52.84718374276714j)
(-5.829350224075117-46.937420901576196j),(3.9945958744090877-37.757903750366374j),(17.558514193177285-15.016584699996757j),(20.790002230710872-38.6436110580372j)
(20.680164442344335-19.888149455348664j),(3.064001545701693+35.10466657130364j),(0.8518107157883374-27.473578187648876j),(41.987276634360036-24.41879541224347j)
(-0.7474164953342273-14.70323240203561j),(10.490397497464084-21.521873196451594j),(34.162410145172366-17.686740103130493j),(32.28549483003067-14.146108611691819j)
(17.057589001633325-7.999123584422831j),(17.265571630981047-4.1755864254080555j),(-10.09165980639865-21.548046602808977j),(2.53427133220499-17.331230580025256j)
(1.2760364408683842-12.744706161656643j),(-5.356093861115584-72.7317495605771j),(14.572476560896973-25.234706791209028j),(14.390678987982605-11.081552976247913j)
(-0.17677373823653575-28.223146814051784j),(65.2004483920033-22.986278450380176j),(1.2104446400901558-35.49584217640516j),(-11.441125221093534-14.995138826540902j)
(-7.953188163643867+21.51503668433309j),(-8.610165618617671-38.54936153832991j),(16.084571915327288-24.55262227320675j),(16.23307945902016-20.839176415204413j)
(5.211609187814036+6.236939835678911j),(69.34630571541683-41.168270778517496j),(22.204327364843355-40.407569119067325j),(48.94269495158189+8.329607758952118j)
(-9.341441954422429+3.338357677828825j),(19.338190555665882+11.22693553909391j),(28.292805274050284-31.967897130862994j),(33.31384821209431-10.033676095279786j)
(-5.378438357991635+8.200539881909062j),(40.5745922450503-51.149355859630525j),(20.355687993009244-35.89652756787835j),(32.65557211924008-13.569770470743604j)
(-27.860692035932995-17.297226711884857j),(-31.837212259954498+11.938922929922379j),(-0.009473102098031205-28.535087812050698j),(17.566873330097614+2.3873892877468275j)
(0.586036750104185-58.37262924018696j),(54.99162623842909-74.28193780489012j),(9.338929117289311-11.975278932855364j),(9.528100469032418+7.944244644262553j)
(-11.663024581885775+0.31258356824266986j),(1.2073140340911657+13.986323891180177j),(10.915597594888851-23.034386713611593j),(-9.592988539273925-49.7019999458505j)
(-3.066197828859245-60.417487191419255j),(-19.499994747209712-93.44536009004884j),(7.680183962468103-9.519578957438476j),(25.193667840964743+5.219050174806522j)
(60.38484064291205-0.39106429763259953j),(29.153694367879936+1.3583418322404093j),(0.21862139585584828-27.336210732064842j),(-1.4585107575550311-9.339463555196296j)
(-3.7558354994703667-17.672390896911534j),(-22.987484783439257-38.60352867717461j),(17.62470754361359-5.7340013166019395j),(16.5000765114618-34.137100613804726j)
(45.012161347248195-22.688282086193016j),(13.80737620775932-1.41810459760422j),(8.668907701717707-26.791837182742793j),(24.396038333507057-22.633843435239022j)
(45.564513062668574-7.02603621419558j),(-13.7248375536082-38.66631627181235j),(8.388877467664813+16.06674590419294j),(6.666665420849274-6.180122723737616j)
(9.583141812992924-11.740665594003655j),(3.726240873703536-33.38038706089965j),(15.333848587759455-18.961902825604263j),(-7.230547861863792-27.83328558232098j)
(38.77392597702134+12.984369774361017j),(-25.417987201844483-31.83185831996484j),(15.693348844064355-2.8142126131967053j),(22.636466776025145-10.596060159698638j)
(-5.091553307342149-8.748040095907259j),(-43.670128981001994-76.91586477869294j),(24.02810771892755-37.879021440145j),(2.0212999011362345+0.5367284855378686j)
(-22.59710579722087+46.69575708515007j),(6.9212431721805086-12.637914320476563j),(28.790259831101793-18.4442935079324j),(54.065541967029475-39.45908251031905j)
(13.354548902833866+3.9149991204617125j),(13.47920033876524-32.9697022641233j),(22.15282568501636-8.637603739756363j),(30.99524024048177+26.33269583422572j)
(-36.918007657029094-1.1603295676525394j),(7.612695762135501-19.670946149126184j),(26.610217538659473-22.36609175932502j),(55.13407556365719-20.287989817524668j)
(-17.42137759097433-16.36527743410843j),(6.409101419379848+3.8563754149753136j),(17.01546973398956+3.8665261523099934j),(23.78016997583476+32.80126723719613j)
(-4.110995117627211+12.979176054017541j),(33.929335537846676-28.087952863997646j),(29.760751825932452-13.527363341850142j),(12.17386663859301+15.204451633109274j)
(-21.155772136692168+12.688474481170337j),(-11.287430209618059+26.91987214111092j),(22.006855457582333-7.3131371458491135j),(40.48790823470978+25.231207257601458j)
(19.52851633437775-25.76930581162809j),(22.170669778074945-13.57055395380653j),(16.881181638836193-15.156456770045427j),(-34.29246409558193-39.377140286721506j)
(-12.740407590973518+25.482471852357293j),(2.324618872280638+29.386536264118053j),(29.027287764199492+0.8480019635350153j),(21.631392500768385+14.714775633387681j)
(-8.052487806548314-39.27650849207599j),(-68.6263081917231-67.42562588942202j),(8.361112872627936+1.096582466727376j),(2.3698264331205534+10.866044700927885j)
(36.055525946627526-39.50456490439686j),(92.66123179266015-1.674101781101534j),(34.207789980746945+0.22948620749217774j),(9.533445038863773+30.12234779208049j)
(-21.72711274596417-22.92300829983798j),(-23.75424351501545+10.564691058242166j),(26.92737285382695+3.7662273960523267j),(5.416040052855466+33.49341284351915j)
(62.46184604669075+20.83023900768876j),(65.98476469245149+14.030634162296899j),(-4.531011349717667+2.091710481290641j),(-9.128308676868631-6.595743805212139j)
(1.9351928531139588+38.82903324729151j),(-14.804240996730439+63.68786138240947j),(7.892698027091594+1.8951263391739208j),(-18.927457030160177-20.92218509312881j)
(-11.606199600925327+10.658816541294268j),(-9.330935058808286-31.30076212634671j),(10.746488401882372-19.469473639754348j),(12.047376128679575-26.596046307195685j)
(-9.923542238434147+10.759823658424905j),(-19.451690074134106+7.371528098690332j),(16.320401723248786-25.074939257580457j),(40.916637291472114-3.564184997661357j)
(-11.79092367199323-50.592082028457504j),(4.975993342728668-84.51151026442194j),(6.247906763112283-3.0399194400179512j),(14.816834020998073+10.078442135818028j)
(-7.042619742757658-30.878673816743216j),(2.7163356828298837-5.208062618252902j),(27.540605813882383-0.8054233391340802j),(52.51149665092439+25.920937104058524j)
(43.49762025041403-38.549739351971645j),(70.08582994434715-70.88345188785425j),(13.850045817805302+0.5411457159126245j),(-27.884343122811565+31.204958642853622j)
(-32.10048492881847+37.19889942611951j),(-9.954538943508279+84.13344764506147j),(19.163632581379563-27.088682894756897j),(22.872282005715036-31.811554869899776j)
(29.87189444051043-24.32530017050102j),(60.69475859910702-43.88784891428757j),(28.347031210114555-4.3671700336402575j),(15.07797526507338+13.53435871003336j)
(-16.875837841948965+61.879737261732046j),(6.256857801961711+72.01523896743578j),(17.03793631489124-20.620241306487014j),(23.567218230224125-58.25518060846775j)
(47.918933646600806-131.40002053361272j),(125.02649707270041-119.06333776103372j),(27.729673706702506+18.65385888068846j),(6.203652162139726+77.43377168763539j)
(-32.93407937877376-48.947178625737436j),(-41.91492053085919-57.482180682810665j),(40.9391701512571+4.117015973876047j),(66.86621182075233+28.465455982692873j)
(36.86418585700568+22.39998635903602j),(88.50328515229523+53.74155627329041j),(-2.8427878048755053-12.686629032480393j),(-25.56346202660134-59.15072993830425j)
(56.186294627474396+18.996619963444495j),(1.1356068209166956+111.1295521888852j),(0.22942245362714941-1.6068511174686892j),(0.3395102346033738-22.796270170074376j)
(-10.240036313582408+37.412579956001345j),(-8.32036698712622+71.79480567753652j),(40.05808790223509+8.32888992814408j),(41.23801212339932-22.705171931756457j)
(-35.83561072759045-57.0934465196659j),(-80.34271774583843-110.06945636127168j),(-18.633002217983954+34.59670773471232j),(9.166084786852744+10.055017654230996j)
