(7890-4.973799150320701e-14j),(15985+3.979039320256561e-13j),(57629-6.536993168992922e-13j),(60919+1.3642420526593924e-12j)
(-5.839779429390104-23.75933392233039j),(11.20512446117424-29.542332152783096j),(8.41182380866266-210.28110169841375j),(399.6364877199787+132.81893158675837j)
(-24.590786813136447-32.01412719847296j),(-31.955656170038345-31.808575843373376j),(159.4063583666571-45.349419474430384j),(-73.6548795474686-416.02654095913033j)
(23.058080930743394+0.7926373788731205j),(-15.702206566851387-31.35147505983766j),(-134.88398545650344-119.22374745017848j),(770.1263243178872+218.53755681945296j)
(59.842847111014535-43.3566187788726j),(-41.11912827642503-25.532458970538435j),(-166.4781831339305+99.98455682361772j),(996.070661494736-213.44507329187678j)
(-53.8332722723652-140.75475339709317j),(-20.777668291002556-45.02408820892504j),(186.28699174476378+435.92457593753835j),(-327.06779345734714-809.2926738759511j)
(48.6005248195994-114.7768249936455j),(-17.50562157639367-71.2678166668828j),(-114.53122571322164+145.58910986109927j),(1156.8559564748311+32.47009004428139j)
(-16.922775610529964-98.3382580251625j),(-13.640474107668194-81.31132757790813j),(-203.90585519449695+64.2199374055674j),(1424.2404850617063+229.68603026206074j)
(54.77659058454958-110.73525120546714j),(10.207219992416492-87.38375370039863j),(-459.01727957161967+148.93868347602222j),(3216.174128110441+264.52221116971526j)
(-68.40829609855814+28.526392070552724j),(-11.346607904862072-109.71916128046229j),(957.2033664134336+156.14285290896782j),(-4060.415167146412-1960.1756268991833j)
(3.7589828207443396-56.34845823837252j),(5.240898572654189-149.36077471920188j),(574.1860011991163-256.82776920474447j),(-1771.0808610876932-1.5777922373830506j)
(-13.66229611619319-101.56249478783226j),(10.55803111560347-176.8542876099237j),(249.36904638368577-179.01420393328465j),(-631.6436679892665-4.173259334478644j)
(-84.75871769933984-226.87314125704546j),(-9.74017871153751-273.6236130447335j),(474.56240549093417-176.342981139934j),(-1430.4434584551168+74.22344248622267j)
(26.527396721228115-731.4698067472725j),(-2.284565469925951-921.0375775111559j),(49.22231201205446-95.72687424119835j),(-160.6454368360729+210.66101448338205j)
(26.52739672122783+731.4698067472723j),(-2.284565469925951+921.037577511156j),(49.222312012055646+95.72687424119727j),(-160.64543683607138-210.66101448337977j)
(-84.75871769933984+226.87314125704592j),(-9.740178711537169+273.62361304473376j),(474.5624054909352+176.3429811399362j),(-1430.443458455115-74.22344248622312j)
(-13.662296116193168+101.56249478783224j),(10.558031115604194+176.85428760992417j),(249.36904638368395+179.0142039332853j),(-631.6436679892666+4.173259334478871j)
(3.7589828207443503+56.348458238372885j),(5.240898572654757+149.36077471920183j),(574.1860011991159+256.82776920474697j),(-1771.0808610876925+1.577792237387257j)
(-68.40829609855845-28.526392070552404j),(-11.346607904862397+109.71916128046304j),(957.2033664134289-156.14285290896555j),(-4060.4151671464133+1960.1756268991862j)
(54.77659058454957+110.73525120546687j),(10.207219992416354+87.3837537003992j),(-459.0172795716206-148.93868347602185j),(3216.1741281104414-264.5222111697152j)
(-16.922775610529733+98.33825802516216j),(-13.640474107667686+81.31132757790694j),(-203.90585519449667-64.21993740556762j),(1424.2404850617086-229.68603026206262j)
(48.60052481959953+114.77682499364548j),(-17.505621576393942+71.2678166668833j),(-114.5312257132245-145.58910986109976j),(1156.8559564748325-32.47009004428048j)
(-53.833272272365356+140.75475339709368j),(-20.77766829100301+45.02408820892537j),(186.28699174476674-435.924575937535j),(-327.0677934573458+809.2926738759551j)
(59.84284711101468+43.3566187788724j),(-41.119128276425236+25.532458970539032j),(-166.47818313393014-99.98455682361606j),(996.070661494734+213.44507329187542j)
(23.058080930743408-0.7926373788727883j),(-15.702206566851686+31.35147505983843j),(-134.883985456504+119.22374745018185j),(770.1263243178876-218.53755681945108j)
(-24.59078681313651+32.014127198472856j),(-31.955656170038086+31.808575843373532j),(159.40635836665857+45.349419474428515j),(-73.6548795474699+416.02654095913124j)
(-5.839779429390161+23.75933392233089j),(11.205124461173586+29.54233215278303j),(8.411823808661211+210.28110169841705j),(399.63648771997845-132.81893158675567j)
(19.216062982701875-20.125394125970015j),(8.344927844984143+47.58260655378707j),(285.1575377566099+195.0929468172219j),(-160.01765084134487+196.00583815549433j)
(-114.84947082006323-10.820682644835244j),(-25.753752055450835+22.997367410945387j),(476.7309207013051-7.035363412765378j),(-554.6978898266907+1523.4105949368475j)
(35.43479979321099+18.224018532076045j),(-1.4382489393558+25.589632277049528j),(-24.193003728410396+135.66089538803888j),(844.7740031397137-248.0687038329461j)
(6.408031587678708+18.83061657860429j),(-20.598186800935892+52.08837005412755j),(-34.4755236404221+53.839933368092275j),(749.6432293702895+18.018719490421688j)
(60.774559002499856+9.23605442578777j),(11.44185221611481+27.784389403953497j),(-15.396350203509293-15.852556934099473j),(673.2198852553533-320.7143035188286j)
(16.3110943871619+203.34614025622355j),(-17.241611967336112+14.368762639098627j),(95.75693257731513-823.6800503618713j),(-747.7244807250643+3000.1277288758893j)
(9.623926371832265+43.83781209234845j),(-18.575583748810907-9.30703703284753j),(-175.02085381372422-264.3262948508746j),(911.9059209888958+772.7167126094839j)
(-0.24523338444601883+30.119320136838297j),(-10.07726060182595+22.25677631616874j),(-111.02575587054142-3.8801163692667586j),(587.8949598475874+265.2596379206422j)
(-13.04868541639659+6.395742442743753j),(-5.820379051953319+7.279068009763327j),(19.5807742808446-131.54589047925396j),(410.43600694729895+1033.9943637879987j)
(68.55138040987134-2.869738182210739j),(7.4314934936069985+19.293882736108646j),(-18.538049048686503+173.62422628069234j),(420.386989214376+357.3965521098988j)
(-17.639918497960053-16.80950311625674j),(-31.389777103247425+17.317360970298292j),(110.81389451606371+51.12835204358072j),(115.33631327843202+831.8133460467229j)
(-87.9873406488035+61.24676994340698j),(-3.471001436704082-5.591168178345666j),(250.4689525425956-168.76825174131392j),(457.5228120816878+1855.0382870094152j)
(-35.09802170671328-13.191198336755768j),(0.7432955353230405+7.745808769582463j),(71.28611570180968+4.93860690882317j),(660.5011141472037+1072.029762096339j)
(-19.39223191370256+8.06637634607663j),(-12.775983054275635+31.131131626999917j),(88.76230097141061-238.2641962000219j),(743.592230525766+1882.0383751267223j)
(-65.19611286784755-18.864986502544955j),(-42.20550964258418+2.4532502031021437j),(-341.5517478772384-273.217121707582j),(2097.764592924028+2650.1147434967334j)
(126.5138475075091+102.1759410610063j),(-8.505804226068193+24.554111667326488j),(-194.3483994938831+1274.883673620668j),(4.5765805335604455-7207.7651892261065j)
(24.85709307199444+64.66090299011852j),(-27.390469250512297+16.724144204101716j),(65.50111042800512+445.32327334827545j),(-157.3676217332428-2078.943261189055j)
