(15494+0j),(18187+0j),(31501+0j),(33459+0j)
(-0.2129903580639283-12.121528624105771j),(11.739065769616444+20.954236130912097j),(-8.025533591051737+0.8767219849352692j),(22.69732617519834+15.568070789242304j)
(9.553058772355975+18.10540105127933j),(26.237389211081236+21.538096478691056j),(-2.4560559292389037+3.934761492675463j),(19.450895364059093-8.640968639537387j)
(12.118378852143518+2.7510515931334507j),(36.23467604427615-7.058555447120376j),(-10.929458025325612-6.019409186899828j),(34.88059821775872-1.5715446604105612j)
(13.625238042477863-13.642495038070132j),(19.73992736234816-19.198562331565984j),(-22.481700109396794-10.249845579199869j),(21.122789480926034+2.265996975972399j)
(4.732744469681162+5.449180482593029j),(-5.515311475147556-13.395640420081104j),(-6.2052445821932185-9.678620333903401j),(8.535007509735973+15.756439257357005j)
(-3.0941867925857878-10.143046895530464j),(-6.07912130234763+14.485625985362475j),(3.3540759526349575+9.980620667609145j),(-16.017221424142917+23.346375252391667j)
(-7.383934243464402+24.78019955530406j),(-7.376954867174865+25.038473720117064j),(-4.028555148233309+8.83678926595567j),(6.571559468393467+2.508706838655156j)
(-9.627130459948699-4.993645537494199j),(1.889301924063684+30.5974520152811j),(16.735857490101512+15.810764600780953j),(-9.246444988701006-12.231537263707091j)
(-2.21331859549979+13.808065540309421j),(18.647813917087305+13.629918531507263j),(22.06136646702241-2.732178865547625j),(2.2183218739448485+5.809816468552389j)
(-3.4346592827236293-14.072156820726281j),(14.394432921149077+13.754742353082278j),(23.975386246239808-8.659739875104586j),(5.345818518296693-13.236871136021696j)
(5.769014485792884+17.37198531193198j),(-9.209253868095054-12.343319308778277j),(18.737575740464905-14.55621121459981j),(20.754426971514793+9.87043610746624j)
(-2.39225523301533-5.075953144871603j),(-21.37782511193335+2.1285512915040705j),(-0.4571516041752339-23.149266017829873j),(-2.3404488103319423+5.654608862274811j)
(-3.31939613214864+17.422188396474734j),(-30.030794961827084+3.5059438750150598j),(-11.913345952533497-15.057802421844901j),(-2.8486991414217897-6.115782980956445j)
(4.581425516092269+7.225718627990837j),(-30.941308494928986+24.55050957567316j),(-19.143703965238647-20.6672985094593j),(6.519573356147555+18.844459429276167j)
(-4.382910264411094+17.671021867560476j),(0.5737314483022367+29.522035991227003j),(17.19679094386595-4.484509281516969j),(-4.308097855685251+23.295107408196515j)
(-13.209283067162787+12.828689793494936j),(14.906544041652566+23.306412318999012j),(4.166695218047144-10.97624676735375j),(6.376037890433748-0.9830481407249696j)
(-1.5909456904797192-5.1055461420086985j),(-10.723548931436326-17.396912385029882j),(-10.91767689815288-8.930384562698464j),(11.13955652330917+6.768162113487057j)
(-25.38768795094178+27.824506518565244j),(-7.701469761646821-19.93856882927489j),(-10.320348336124457-20.80489156717151j),(-8.36372418807132+1.6905888847419417j)
(-8.735950432511522-2.871382794376512j),(-29.997073037624162-12.244446050779349j),(-12.30274752864415+1.645463329304155j),(18.866934364954844+6.176633637090689j)
(-7.1648743962623485-13.18921677134053j),(-32.1624814901561-13.032494608375636j),(-21.858683319947886+10.924416316372795j),(1.773594207385031+15.565381420537094j)
(-23.178087342366982-10.729681253053291j),(-31.464561871372368-7.615900222998722j),(-18.600917917340492+11.394756074115442j),(19.18724330693134-21.551600140797262j)
(-1.8584075796983175-2.1990993392745306j),(-3.5890233252043244+6.885367584318537j),(10.59921279554179+31.352078791427353j),(5.275661543259598-4.171650579378712j)
(2.628021905883246-3.280390870211696j),(11.678597130580268-6.098533435394784j),(20.717380849536948+10.193333422853147j),(5.052915946230801+2.8410373220748375j)
(0.034503127888288354-13.768831329676864j),(10.749415837577068-31.622146235187508j),(26.868273346979763+7.004004433260333j),(9.07194180040244+14.836180523443174j)
(-15.664013152659601-3.8119302262410137j),(7.950826084834592-31.506838454323812j),(7.3955928374652995+0.13237967887853896j),(0.2199793982135234+8.384481346461314j)
(1.2317424565181962-20.588638779303224j),(-14.358489371903328-30.028844648286007j),(8.878406046333778-10.95670985896551j),(15.741012638547758+8.092445525508278j)
(-19.250627490176598-8.855045202072763j),(-15.137727320894115-15.935015663692893j),(-1.250331990675619-7.290087569231419j),(-8.787167745067904+13.603170740183899j)
(10.133211362202665-9.883411486891408j),(-24.93381565270807+6.020790229708527j),(-5.009636231818998-4.894009940852433j),(5.933408630124648+16.391816085005082j)
(-14.851143779078054-16.191488589872822j),(2.5911356655100923-2.7599755065585505j),(11.510296715142061+9.289298766912015j),(23.154130597444016-2.7967961260218717j)
(-15.621110008913796+10.935979519290159j),(18.17070971899778-11.46668723348494j),(1.6312169579687286+0.2939930188382025j),(30.44015965401571-3.796986015672573j)
(-14.864599007876366-18.547634287709407j),(17.669966753732204-26.829336297543023j),(0.3214746037843721-1.8336718324510741j),(25.544715987967418+7.551720618998148j)
(-24.624237395217882-9.63969981097954j),(15.61067306160167-25.823766982576995j),(-11.895832070095118-7.241626636774159j),(16.017880668439595+24.807867332651977j)
(-26.269058404650433-7.03812513489193j),(-21.90657818296462-35.385252417795j),(-20.46159523355135-5.242241150910047j),(4.110841093507583+55.26311557535843j)
