(20915+1.1013412404281553e-12j),(24288+9.023892744153272e-13j),(33609+1.8260948309034575e-12j),(34862+1.9468870959826745e-12j)
(8.169032167787712+44.85371476273259j),(46.12387676548343+51.19609312016175j),(-42.83021794432847+148.52823677916325j),(-19.970793896756085+179.7576569108375j)
(-25.867745024392505+63.50761193796817j),(-0.37404024947501213+31.77046571569594j),(-32.837462286752434+89.8443814586163j),(5.669968593067164+111.19507586553509j)
(9.921991168483885+51.54659538828392j),(4.87406823227796+67.10737952212011j),(-3.404649596199639+95.35107148129505j),(-6.030108822309719+95.07007524871766j)
(-19.186718652508844+34.797950144109j),(-0.4048023812329564+23.164724506390435j),(-9.676656517530226+86.08953621618713j),(-1.4090350206612356+104.73108944384302j)
(16.39802369576903+8.7684720507074j),(-12.621405451541685+18.6778118379274j),(-43.70622701816344+92.1460197528314j),(-26.37807690772713+86.6726133258148j)
(24.112450723344185+0.6276069095631591j),(-2.8367755756231716-17.74480433025476j),(-23.692060811051007+59.71911314256653j),(-14.954396752750144+73.53920512364262j)
(30.403138596115188+24.855601072759086j),(-9.760154233515957+0.29897920543469936j),(-8.456853897389959+61.19075969646943j),(-11.696575747599667+38.54709611329569j)
(-10.117849963103515+18.39980273858815j),(7.557325248166883-14.112698284632796j),(-7.692117424705852+54.61094744675335j),(-25.593716102166574+55.41474208582795j)
(-30.60371828047343+7.1515000462881515j),(7.653987172209553-5.486499163562569j),(-36.03100131925032+53.949253536879525j),(-20.553307594019063+12.035080870878815j)
(-4.4438517319976265-5.248559472069927j),(-25.43427632372354+12.988886045991244j),(-2.7389203797954025+64.2164230940664j),(6.130713848305259+59.76760885800133j)
(14.856903884619555+17.234434390695082j),(1.0758474877575104+47.42208122897689j),(3.998255922252083+38.010576851229544j),(-19.814142066787397+24.967485508876337j)
(9.378454217941302+29.0277098601852j),(-10.960064589472694+8.782581505402971j),(-17.40077650079744+27.471286960061434j),(11.686968794388317+46.37524836765773j)
(13.975739729842672+21.16961593103654j),(-38.37528415493772+35.62399200618296j),(-0.9588369102988314+5.586174041482425j),(25.825126902553233+1.6473366101651585j)
(-10.224513685364968-0.6513351808407641j),(11.925613092352801+12.20162532357876j),(20.456018348241706+44.67656459301571j),(0.9721247257190626+46.22437565186412j)
(-2.48200509090601-6.219269625036106j),(14.560106399440347+3.6499959513257227j),(-3.1324610960537895+46.278129153891186j),(17.05996568023468+27.27313565642416j)
(3.323011207657571-4.066007344021467j),(39.797848385747784-0.8371826425860291j),(-21.679924496111646+16.928166815860507j),(-26.09859993949917+45.08933906531884j)
(0.31155837150549015-14.187220763663122j),(5.39109342677424-3.37565115800515j),(0.8529239226359212+2.896886912709746j),(-13.05657495711429+21.66882953201516j)
(-10.197635527600834+29.265287788086674j),(5.100761463273161+37.796547594025995j),(5.100981574110285+19.559877655327835j),(-28.635581253465123+10.213315523096636j)
(-3.906519100495732+31.840352342868858j),(29.231083202308344+7.738151538647511j),(-15.388917690047275+17.17986154181532j),(-8.319872316622076+5.65144204773201j)
(-17.358164070290794+10.311157633936073j),(-44.36351667093288+7.0857270500895595j),(-17.94939160311931+4.93419306617475j),(-21.757945485174993+15.274928544004979j)
