(23126-2.4513724383723456e-13j),(27079-9.627854069549358e-13j),(40173-2.5579538487363607e-13j),(42339-5.613287612504791e-13j)
(-1.1688048744626376+5.872022225145407j),(-13.245685757105322-21.042435621349405j),(3.480313293503441-19.296861927623834j),(-9.317689333185513+18.93753222186957j)
(-17.72814064149994+17.662772092316917j),(20.67948507980291+0.06510722269902214j),(40.81887012519657+84.99633702852766j),(15.03869511245295+63.40768890244532j)
(-1.0824315635679032+20.764713578180544j),(29.88829984917468-20.320100115434226j),(-107.20077585629485+22.504369867790384j),(-3.276564867822418+19.24224892391631j)
(-31.59282202287074+36.63637933616863j),(11.252654521778082-29.711141587558263j),(50.69504681519558-7.512505797502953j),(6.872013001488819+19.531986205168163j)
(-4.6155440287647185+16.037588721184463j),(18.026279797840303-18.82595917785718j),(-73.63672346422558+85.95687184522441j),(-6.707416326812433+23.84828607316935j)
(-22.33042786730322+9.110606735714853j),(7.163684664892886+2.6820034872462584j),(-44.01589968301226-60.07160733942182j),(-37.46830827314093+27.656655229845j)
(13.818068188607016+9.339500791400159j),(22.373216969807654+8.780377245657574j),(32.93060934843503+61.81199653587004j),(-9.147497548612678+30.029188779300853j)
(-1.7795124055340215+5.675883771969827j),(1.1374544571599774+23.09909881586944j),(-73.3334485652961-13.95669470593904j),(-20.184816830958113+34.42856308856916j)
(22.090332719116613-6.6175709938571945j),(10.582868266156565+30.82645040494834j),(46.19820394550637-34.583454209933606j),(-7.365070728064596+34.560457605782794j)
(12.61982165720801-1.7852597208509808j),(-29.679626995120536+5.034567252543516j),(-47.89317392163484+74.30225035642061j),(-2.6764229802976276+10.910921006483266j)
(37.0461570998851+15.258751811460705j),(-22.977280946610815+11.198822282495652j),(-7.467540785814016-62.94884742810145j),(-31.051451539831476+15.718898834029634j)
(40.59619818538277+10.927773463458166j),(-43.69777402131504-17.702234249473662j),(63.022265485259496+62.677969520659126j),(4.373477266897682+17.161289847521232j)
(33.807098726013415+10.495209650522836j),(-32.46881199516406+0.5249470459404915j),(-98.92272041553858+19.781414745599626j),(-15.49677205487043+19.247072139748223j)
(9.824188462233053-8.20379666142376j),(-3.7266816041167066-38.939093712630225j),(39.373813088983354-21.74268471533641j),(-23.82634966940257+8.605901728548739j)
(4.804137237464212+32.97732757650589j),(-28.311468401117008+2.9961829376253517j),(-27.440330393191772+129.61953740143286j),(-8.212223340792107+24.13415539067023j)
(-13.645527905859987-4.7960627875637325j),(-10.780242059884268-14.38764728651477j),(-46.65694292754989-29.722036760477835j),(-36.06907909656064+12.200695103144046j)
(-3.9716416029974084+27.42235244645158j),(18.97664836252963+36.60707740736536j),(68.59510965221969+49.27299398805615j),(-28.54557787539528+48.98067053641304j)
(-4.162612960286301-19.30047973166923j),(30.62567220129943-3.7849764080679638j),(-81.10254607823018+39.37836963641627j),(-11.023403740773478+2.8852257573071j)
(-22.262403207459666-4.531938829831588j),(40.624746836428635-7.351292719495728j),(47.948119202610535-74.4605252730409j),(-15.578678035674812-1.8547231547455612j)
(-20.46920493937533-3.8699922990385898j),(0.8472632419779186-5.464895596199557j),(-11.560939809931337+49.03803941965567j),(-17.124946840609386+13.14974998615737j)
(-18.53697865444859+0.5475510107321546j),(-13.443389736718537+44.43418313600126j),(-66.9564646556804-78.32905416852985j),(-20.6170997785727+26.21017923668426j)
(-11.868291407270101-25.83111952914073j),(3.5005289367597285+52.724313737829206j),(27.50815371469473+14.101185852307436j),(-22.9203086292843+21.58365526950159j)
(-8.035921967383777+6.387472765678713j),(-4.507533162186106+26.45470471235385j),(-109.61218324641838+10.876601560822863j),(-30.55617648543135-19.657702292907487j)
(11.61414453633944-1.4929899410499596j),(3.6204337741260755+7.600829460394682j),(1.378956001265914-45.51226437020896j),(-21.02245694334936-9.331100327803437j)
(4.662807096771548-0.435455734691538j),(-39.88513486294268+4.725129364433574j),(13.159749582640796+64.50040426749963j),(4.7808532534313635+0.7806572872233439j)
(6.348011144319947+9.83550513141628j),(-27.98664832666094+12.94335327054229j),(-51.23435214572037-41.651694607715214j),(-13.555552855226466-14.404802156788097j)
(-10.423050586435112+29.66280813754522j),(-4.1913225049896585-26.63250755193441j),(46.889049778555105+27.00825893150143j),(-14.93846317358499+14.602609579698854j)
(14.869049440111317+30.567806777898177j),(16.802063334665007-25.71953459088846j),(-103.3394228226575+74.11285256706566j),(-18.770138363846726+8.243061051570185j)
(-6.258737985234589+19.314856680978565j),(-5.824832341994924-44.044312886921404j),(12.67708348632873-66.08054540430663j),(-29.79234382139266+23.592957128012863j)
(15.988279983441103+32.366315631429416j),(16.151538489820982-46.063478531201994j),(3.8146465952872113+86.51894488724484j),(-7.602375703707901+7.234913604043429j)
(-1.6247129062160433+23.12316551755849j),(-1.4553258174643453+6.459357199606403j),(-84.30311973351843-12.673887038699917j),(-13.606869498472848+5.335658147463184j)
(9.651688995377032+18.32493496616246j),(40.94811324010188+37.12188351875129j),(46.31082799537459+12.365830261049656j),(4.7831072879763585+6.310101966369254j)
(2.99821114804651-8.065880432155616j),(32.53886509111728+42.690119626253214j),(-64.61297736941006+109.4140984839998j),(-42.29628808936325+27.868515032574038j)
(13.818275743054732-14.936471627081438j),(42.29551601379467+27.36002906420633j),(-16.642532191730094-83.236585764752j),(-24.69486210235126+3.1223712408189845j)
(9.32695293244999-0.3945767858141047j),(-0.661021411634021+41.018249060966845j),(56.687172764835395+72.21512363968279j),(-15.060353131598397+29.869450394390423j)
(14.655733160713101-21.076607723256497j),(-28.173175358441597+54.734943651406134j),(-62.94468965900104-50.95851688497899j),(-6.6879908324578565+3.489349822561489j)
(20.867998530819794-16.690343911061433j),(-30.06808587397428+12.587511855001065j),(51.89124298287135-31.530005577302312j),(-22.841350878090548-29.5368670787002j)
(22.442007692788692+10.814803134426525j),(-35.84286916823641+15.376176043952132j),(-17.423059428905805+49.12323678999093j),(0.9267638659340943-7.430965240944757j)
(32.0170401548106+1.372054800998523j),(-32.34729581722833-15.823653368208587j),(-11.983080159996213-67.55367544398453j),(-30.270766735401075+4.8808298902743825j)
(1.0272309058832345+12.081551668164074j),(-47.5927024308655-10.92523848918876j),(55.295323050145264+41.30160367786311j),(-17.051558200317864+1.138501028519621j)
(39.363299686087004-4.626683821732977j),(-24.279436953609185-17.319780804676448j),(-95.3841880930058-16.50290400896879j),(-26.66085820157985-3.392429469448084j)
(-11.35330380575368+17.773049288276724j),(-2.7829634432603285-8.784787270336512j),(80.44998752521632-7.796911116790639j),(-12.092249023509698+5.963252734763922j)
(0.7193850032648101-10.534125233439388j),(46.9969363327333-33.524109189284296j),(-55.717807501595125+84.60096272087948j),(-17.628941243482497+6.8886995091108j)
(-31.932973952632942+11.710848066076512j),(21.286845934645513-11.346546416993206j),(-51.55819946302744-66.6865901009601j),(-3.5463936151587445+21.42556942245131j)
(-16.352878535231017+18.345102443474474j),(23.213443059493386-7.619436995965976j),(27.70289573153445+97.87358731137587j),(0.4760819190443947+37.40952531189968j)
